FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26477459.202505221530,82,,2110010,1,20250522,1530,17,7,0,0,0,0,0,27,15,0,0,0,0,0,3,202505221530,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477460.202505221530,82,,2110017,1,20250522,1530,89,13,0,0,0,0,0,90,19,0,0,0,0,0,3,202505221530,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477461.202505221530,82,,2110019,1,20250522,1530,90,17,0,0,0,0,0,95,25,0,0,0,0,0,3,202505221530,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477462.202505221530,82,,2110021,1,20250522,1530,71,17,0,0,0,0,0,70,14,0,0,0,0,0,3,202505221530,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477463.202505221530,82,,2110030,1,20250522,1530,83,8,0,0,0,0,0,100,12,0,0,0,0,0,3,202505221530,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477464.202505221530,82,,2110040,1,20250522,1530,58,14,0,0,0,0,0,70,11,0,0,0,0,0,3,202505221530,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477465.202505221530,82,,2110060,1,20250522,1530,73,13,0,0,0,0,0,71,10,0,0,0,0,0,3,202505221530,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477466.202505221530,82,,2110061,1,20250522,1530,16,10,4,0,0,0,0,10,2,1,0,0,0,0,3,202505221530,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477467.202505221530,82,,2110062,1,20250522,1530,27,3,1,0,0,0,0,11,0,0,0,0,0,0,3,202505221530,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477468.202505221530,82,,2110063,1,20250522,1530,9,3,0,0,0,0,0,3,3,0,0,0,0,0,3,202505221530,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477469.202505221530,82,,2110065,1,20250522,1530,98,15,0,0,0,0,0,90,13,0,0,0,0,0,3,202505221530,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477470.202505221530,82,,2110080,1,20250522,1530,85,13,0,0,0,0,0,99,15,0,0,0,0,0,3,202505221530,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477471.202505221530,82,,2110081,1,20250522,1530,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505221530,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477472.202505221530,82,,2110090,1,20250522,1530,36,5,0,0,0,0,0,66,3,0,0,0,0,0,3,202505221530,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477473.202505221530,82,,2110091,1,20250522,1530,12,8,0,0,0,0,0,14,7,0,0,0,0,0,3,202505221530,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477474.202505221530,82,,2110092,1,20250522,1530,50,10,0,0,0,0,0,21,5,0,0,0,0,0,3,202505221530,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477475.202505221530,82,,2110093,1,20250522,1530,35,11,0,0,0,0,0,19,6,0,0,0,0,0,3,202505221530,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477476.202505221530,82,,2110095,1,20250522,1530,31,2,0,0,0,0,0,37,1,0,0,0,0,0,3,202505221530,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477477.202505221530,82,,2110101,1,20250522,1530,29,5,0,0,0,0,0,27,5,0,0,0,0,0,3,202505221530,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477478.202505221530,82,,2110102,1,20250522,1530,42,3,0,0,0,0,0,35,2,0,0,0,0,0,3,202505221530,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477479.202505221530,82,,2110103,1,20250522,1530,84,10,0,0,0,0,0,89,5,0,0,0,0,0,3,202505221530,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477480.202505221530,82,,2110106,1,20250522,1530,71,11,0,0,0,0,0,64,5,0,0,0,0,0,3,202505221530,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477481.202505221530,82,,2110110,1,20250522,1530,73,10,0,0,0,0,0,59,7,0,0,0,0,0,3,202505221530,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477482.202505221530,82,,2110120,1,20250522,1530,35,7,0,0,0,0,0,24,6,0,0,0,0,0,3,202505221530,40.24861199921695,141.2695885,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477483.202505221530,82,,2110121,1,20250522,1530,17,1,0,0,0,0,0,11,3,0,0,0,0,0,3,202505221530,40.33516094927743,141.2985134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477484.202505221530,82,,2110129,1,20250522,1530,17,1,0,0,0,0,0,10,8,0,0,0,0,0,3,202505221530,40.60877243946183,141.2602758,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477485.202505221530,82,,2110130,1,20250522,1530,0,0,37,0,0,1,0,0,0,34,0,0,1,0,3,202505221530,40.65837352949415,141.1919975,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477486.202505221530,82,,2110132,1,20250522,1530,0,0,2,0,0,0,0,27,5,0,0,0,0,0,3,202505221530,40.685015229511365,141.1707866,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477487.202505221530,82,,2110140,1,20250522,1530,49,2,0,0,0,0,0,36,5,0,0,0,0,0,3,202505221530,40.89885213964595,140.8603907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477488.202505221530,82,,2110143,1,20250522,1530,35,6,0,0,0,0,0,35,2,0,0,0,0,0,3,202505221530,39.946858248998055,141.2168884,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477489.202505221530,82,,2110144,1,20250522,1530,30,6,0,0,1,0,0,33,5,0,0,1,0,0,3,202505221530,40.83186565960448,141.1289549,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477490.202505221530,82,,2110150,1,20250522,1530,43,6,0,0,0,0,0,22,6,0,0,0,0,0,3,202505221530,36.857960956084185,140.7891727,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477491.202505221530,82,,2110160,1,20250522,1530,89,12,0,0,0,0,0,74,15,0,0,0,0,0,3,202505221530,36.92281008615712,140.8423448,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477492.202505221530,82,,2110161,1,20250522,1530,59,12,0,0,0,0,0,52,21,0,0,0,0,0,3,202505221530,37.03306503628002,140.911907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477493.202505221530,82,,2110162,1,20250522,1530,29,7,0,0,0,0,0,22,3,0,0,0,0,0,3,202505221530,37.11549536637102,140.9974993,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477494.202505221530,82,,2110163,1,20250522,1530,42,9,0,0,0,0,0,17,12,0,0,0,0,0,3,202505221530,37.38527750666344,141.0086632,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477495.202505221530,82,,2110165,1,20250522,1530,38,5,0,0,0,0,0,33,6,0,0,0,0,0,3,202505221530,37.63270112692426,140.9856901,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477496.202505221530,82,,2110168,1,20250522,1530,11,8,0,0,0,0,0,12,11,0,0,0,0,0,3,202505221530,37.81498403711179,140.943249,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477497.202505221530,82,,2110170,1,20250522,1530,9,0,0,0,0,0,0,14,2,0,0,0,0,0,3,202505221530,37.89520971719308,140.9035528,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477498.202505221530,82,,2110173,1,20250522,1530,61,9,0,0,0,0,0,45,9,0,0,0,0,0,3,202505221530,37.094818366348264,140.9771016,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477499.202505221530,82,,2110180,1,20250522,1530,43,1,0,0,0,0,0,33,3,0,0,0,0,0,3,202505221530,38.065333367362896,140.8600833,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477500.202505221530,82,,2110190,1,20250522,1530,13,3,0,0,0,0,0,13,6,0,0,0,0,0,1,202505221530,38.69140541795727,139.678824,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477501.202505221530,82,,2110191,1,20250522,1530,11,3,0,0,0,1,0,22,3,0,0,0,0,0,3,202505221530,38.96127130819829,139.8400569,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477502.202505221530,82,,2110192,1,20250522,1530,40,3,0,0,0,0,0,54,6,0,0,0,0,0,3,202505221530,38.794079918050066,139.83442430000002,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477503.202505221530,82,,2110193,1,20250522,1530,40,3,0,0,0,0,0,38,7,0,0,0,0,0,3,202505221530,38.787431758044086,139.8346764,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477504.202505221530,82,,2110194,1,20250522,1530,4,0,0,0,0,0,0,10,5,0,0,0,0,0,3,202505221530,38.69287924795862,139.6478605,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477505.202505221530,82,,2110195,1,20250522,1530,9,4,0,0,0,0,0,11,8,0,0,0,0,0,3,202505221530,38.61589808788817,139.5797968,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477506.202505221530,82,,2110196,1,20250522,1530,76,5,0,0,0,0,0,43,6,0,0,0,0,0,3,202505221530,38.83854814808984,139.8486963,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477507.202505221530,82,,2110197,1,20250522,1530,21,3,0,0,0,0,0,19,1,0,0,0,0,0,3,202505221530,38.71753625798101,139.7594082,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477508.202505221530,82,,2110198,1,20250522,1530,30,7,0,0,0,0,0,25,2,0,0,0,0,0,3,202505221530,38.71622198797982,139.7565651,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477509.202505221530,82,,2110199,1,20250522,1530,17,4,0,0,0,0,0,15,3,0,0,0,0,0,1,202505221530,38.60695292787995,139.5878005,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477510.202505221530,82,,2110201,1,20250522,1530,8,3,0,0,0,0,0,13,4,0,0,0,0,0,1,202505221530,38.666421037934484,139.623761,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477511.202505221530,82,,2110202,1,20250522,1530,28,5,0,0,0,0,0,50,7,0,0,0,0,0,3,202505221530,39.62387474875015,140.0681964,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477512.202505221530,82,,2110203,1,20250522,1530,5,1,0,0,0,0,0,10,0,0,0,0,0,0,3,202505221530,39.240899018438185,139.9362623,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477513.202505221530,82,,2110204,1,20250522,1530,14,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202505221530,39.290490888479674,139.9747431,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477514.202505221530,82,,2110205,1,20250522,1530,20,5,0,0,0,0,0,8,4,0,0,0,0,0,3,202505221530,39.11912903833497,139.876447,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477515.202505221530,82,,2110208,1,20250522,1530,59,1,0,0,0,0,0,54,2,0,0,0,0,0,3,202505221530,39.38953603856155,140.030682,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477516.202505221530,82,,2110210,1,20250522,1530,53,14,0,0,0,0,0,65,4,0,0,0,0,0,3,202505221530,39.79539903888355,140.0622,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477517.202505221530,82,,2110212,1,20250522,1530,32,5,0,0,0,0,0,39,8,0,0,0,0,0,3,202505221530,39.718472038824196,140.083211,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477518.202505221530,82,,2110213,1,20250522,1530,24,3,0,0,0,0,0,31,2,0,0,0,0,0,3,202505221530,39.52539935867177,140.0518185,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477519.202505221530,82,,2110214,1,20250522,1530,18,3,0,0,0,0,0,21,4,0,0,0,0,0,3,202505221530,39.90494615896667,140.076382,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477520.202505221530,82,,2110215,1,20250522,1530,9,5,0,0,0,0,0,10,2,0,0,0,0,0,3,202505221530,40.065833339085835,140.0683333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477521.202505221530,82,,2110216,1,20250522,1530,26,4,1,0,0,0,0,21,4,2,0,0,0,0,3,202505221530,40.265277839228666,140.5313889,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477522.202505221530,82,,2110217,1,20250522,1530,24,10,1,0,0,0,0,13,4,0,0,0,0,0,3,202505221530,40.270277839232186,140.5355556,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477523.202505221530,82,,2110218,1,20250522,1530,48,8,0,0,0,0,0,38,2,0,0,0,0,0,3,202505221530,40.191666739176576,140.0327778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477524.202505221530,82,,2110219,1,20250522,1530,32,7,0,0,0,0,0,13,2,0,0,0,0,0,3,202505221530,40.21805563919535,140.2775,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26477525.202505221530,82,,2110220,1,20250522,1530,14,8,0,0,0,0,0,13,2,0,0,0,0,0,3,202505221530,40.16138893915495,140.0391667,,,,,,,,,,,,,,,,,
