FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26448929.202505221210,83,,3110010,1,20250522,1210,85,14,2,0,0,0,0,76,14,3,0,0,0,0,3,202505221210,35.58550262456253,139.7049058,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448930.202505221210,83,,3110020,1,20250522,1210,116,24,3,0,0,0,0,103,27,2,0,0,0,0,3,202505221210,35.37938903430058,139.509906,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448931.202505221210,83,,3110030,1,20250522,1210,37,1,2,0,0,0,0,29,4,4,0,0,0,0,3,202505221210,35.30798103420886,139.30775,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448932.202505221210,83,,3110040,1,20250522,1210,29,6,0,0,0,0,0,36,9,0,0,0,0,0,3,202505221210,35.24085503412222,139.123519,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448933.202505221210,83,,3110050,1,20250522,1210,84,50,4,0,0,0,0,49,59,6,0,0,0,0,3,202505221210,36.238458295364495,139.8048878,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448934.202505221210,83,,3110060,1,20250522,1210,151,37,3,0,0,0,0,109,49,3,0,0,0,0,3,202505221210,36.51217142568756,139.9177551,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448935.202505221210,83,,3110070,1,20250522,1210,41,17,0,0,0,0,0,52,18,0,0,0,0,0,3,202505221210,36.833366956056416,139.9495983,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448936.202505221210,83,,3110080,1,20250522,1210,31,0,0,0,0,0,0,34,3,0,0,0,0,0,3,202505221210,36.29676104543397,139.7863913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448937.202505221210,83,,3110090,1,20250522,1210,54,1,1,0,0,0,0,53,2,1,0,0,0,0,3,202505221210,36.52417383570154,139.8798609,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448938.202505221210,83,,3110100,1,20250522,1210,44,3,0,0,0,0,0,50,3,1,0,0,0,0,3,202505221210,36.58529299577252,139.9295837,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448939.202505221210,83,,3110110,1,20250522,1210,37,6,0,0,0,0,0,37,16,0,0,0,0,0,3,202505221210,36.019401995100274,140.15926790000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448940.202505221210,83,,3110120,1,20250522,1210,53,7,0,0,0,0,0,0,0,0,0,0,0,0,3,202505221210,36.297327425434645,140.4228446,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448941.202505221210,83,,3110130,1,20250522,1210,0,0,0,0,0,1,0,62,0,0,0,0,0,0,3,202505221210,36.582090335768804,140.6400901,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448942.202505221210,83,,3110140,1,20250522,1210,67,8,3,0,0,0,0,69,21,0,0,0,0,0,3,202505221210,35.70274880470968,139.8786539,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448943.202505221210,83,,3110150,1,20250522,1210,34,13,3,0,0,0,0,61,22,6,0,0,0,0,3,202505221210,35.61902656460475,140.0975838,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448944.202505221210,83,,3110160,1,20250522,1210,54,17,6,0,0,0,0,65,16,4,0,0,0,0,3,202505221210,35.56474703453633,139.7273263,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448945.202505221210,83,,3110170,1,20250522,1210,62,45,0,0,0,0,0,81,33,0,0,0,0,0,3,202505221210,35.52794003448978,139.70328,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448946.202505221210,83,,3110180,1,20250522,1210,82,21,0,0,0,0,0,54,92,0,0,0,0,0,3,202505221210,35.47903203442772,139.638693,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448947.202505221210,83,,3110190,1,20250522,1210,58,3,1,0,0,0,0,49,3,4,0,0,0,0,3,202505221210,35.26731403415642,139.685375,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448948.202505221210,83,,3110200,1,20250522,1210,48,3,3,0,0,0,0,47,9,2,0,0,0,0,3,202505221210,35.36071103427663,139.629686,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448949.202505221210,83,,3110220,1,20250522,1210,70,40,0,0,0,0,0,67,30,0,0,0,0,0,3,202505221210,35.58894027456686,139.3426681,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448950.202505221210,83,,3110230,1,20250522,1210,42,2,1,0,0,0,0,35,6,0,0,0,0,0,3,202505221210,35.483485034433386,139.527129,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448951.202505221210,83,,3110240,1,20250522,1210,42,17,0,0,0,0,0,47,29,0,0,0,0,0,3,202505221210,35.83073572486877,139.3800849,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448952.202505221210,83,,3110250,1,20250522,1210,76,39,1,0,0,0,0,70,30,1,0,0,0,0,3,202505221210,35.707798574715994,140.1198261,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448953.202505221210,83,,3110260,1,20250522,1210,12,14,49,0,0,0,0,58,40,2,0,0,0,0,3,202505221210,35.53057826449313,140.0927666,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448954.202505221210,83,,3110270,1,20250522,1210,43,20,2,0,0,0,0,46,20,1,0,0,0,0,3,202505221210,35.79240130482129,139.6854329,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26448955.202505221210,83,,3110280,1,20250522,1210,105,48,0,0,0,0,0,96,35,0,0,0,0,0,3,202505221210,35.803056924834515,139.6481824,,,,,,,,,,,,,,,,,
