FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・自動車交通量,上り・小型交通量,上り・大型交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型交通量,下り・大型交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,color
t_travospublic_measure_5m_img.25654745.202505212355,82,,2810180,1,20250521,2355,3,3,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.89166803813703,141.115835,,,blue
t_travospublic_measure_5m_img.25654746.202505212355,82,,2810190,1,20250521,2355,1,0,1,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,39.03166703825964,141.1175,,,blue
t_travospublic_measure_5m_img.25654747.202505212355,82,,2810200,1,20250521,2355,0,0,0,0,1,0,1,0,0,,,,0,,,,,,3,202505212355,39.0450020382712,141.129544,,,blue
t_travospublic_measure_5m_img.25654748.202505212355,82,,2810220,1,20250521,2355,9,5,4,0,4,4,0,0,0,,,,0,,,,,,3,202505212355,39.29444503848296,141.105556,,,blue
t_travospublic_measure_5m_img.25654749.202505212355,82,,2810230,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,39.344446038524424,141.106946,,,blue
t_travospublic_measure_5m_img.25654750.202505212355,82,,2810240,1,20250521,2355,2,1,1,0,1,1,0,0,0,,,,0,,,,,,3,202505212355,39.651946038772245,141.164724,,,blue
t_travospublic_measure_5m_img.25654751.202505212355,82,,2810250,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,39.888889038954595,141.19528,,,blue
t_travospublic_measure_5m_img.25654752.202505212355,82,,2810270,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.27277803923393,141.293058,,,blue
t_travospublic_measure_5m_img.25654753.202505212355,82,,2810290,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.718083039532594,141.156692,,,blue
t_travospublic_measure_5m_img.25654754.202505212355,82,,2810300,1,20250521,2355,0,0,0,0,1,0,1,0,0,,,,0,,,,,,3,202505212355,40.907508039651255,141.061111,,,blue
t_travospublic_measure_5m_img.25654755.202505212355,82,,2810310,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.8547220396187,140.839178,,,blue
t_travospublic_measure_5m_img.25654756.202505212355,82,,2810370,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.82440303807722,139.8377,,,blue
t_travospublic_measure_5m_img.25654757.202505212355,82,,2810390,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,39.06557303828897,139.881432,,,blue
t_travospublic_measure_5m_img.25654758.202505212355,82,,2810400,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,39.26847903846129,139.923131,,,blue
t_travospublic_measure_5m_img.25654759.202505212355,82,,2810430,1,20250521,2355,0,0,0,0,1,1,0,0,0,,,,0,,,,,,3,202505212355,39.976642039020206,140.07770900000003,,,blue
t_travospublic_measure_5m_img.25654760.202505212355,82,,2810450,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,40.278639039238044,140.449111,,,blue
t_travospublic_measure_5m_img.25654761.202505212355,82,,2810460,1,20250521,2355,7,5,2,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.275306039235716,140.516861,,,blue
t_travospublic_measure_5m_img.25654762.202505212355,82,,2810470,1,20250521,2355,0,0,0,0,1,1,0,0,0,,,,0,,,,,,3,202505212355,40.317917039265446,140.578139,,,blue
t_travospublic_measure_5m_img.25654763.202505212355,82,,2810480,1,20250521,2355,0,0,0,0,2,2,0,0,0,,,,0,,,,,,3,202505212355,40.577502039441285,140.518889,,,blue
t_travospublic_measure_5m_img.25654764.202505212355,82,,2810490,1,20250521,2355,4,4,0,0,6,5,1,0,0,,,,0,,,,,,3,202505212355,40.711137039528154,140.580013,,,blue
t_travospublic_measure_5m_img.25654765.202505212355,82,,2810510,1,20250521,2355,1,1,0,0,4,4,0,0,0,,,,0,,,,,,3,202505212355,37.931619037229716,140.126356,,,blue
t_travospublic_measure_5m_img.25654766.202505212355,82,,2810520,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.05191103734962,140.17323,,,blue
t_travospublic_measure_5m_img.25654767.202505212355,82,,2810530,1,20250521,2355,1,0,1,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.207931037502526,140.318236,,,blue
t_travospublic_measure_5m_img.25654768.202505212355,82,,2810540,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,38.69290503795864,140.319386,,,blue
t_travospublic_measure_5m_img.25654769.202505212355,82,,2810550,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,38.84374903809449,140.331102,,,blue
t_travospublic_measure_5m_img.25654770.202505212355,82,,2810570,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,38.989511038222986,140.362649,,,blue
t_travospublic_measure_5m_img.25654771.202505212355,82,,2810580,1,20250521,2355,5,5,0,0,1,0,1,0,0,,,,0,,,,,,3,202505212355,39.260555038454655,140.543611,,,blue
t_travospublic_measure_5m_img.25654772.202505212355,82,,2810590,1,20250521,2355,3,3,0,0,1,0,1,0,0,,,,0,,,,,,3,202505212355,39.44138803860391,140.505,,,blue
t_travospublic_measure_5m_img.25654773.202505212355,82,,2810600,1,20250521,2355,1,1,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,39.51138803866052,140.380833,,,blue
t_travospublic_measure_5m_img.25654774.202505212355,82,,2810610,1,20250521,2355,1,1,0,0,2,2,0,0,0,,,,0,,,,,,3,202505212355,39.63750003876089,140.300833,,,blue
t_travospublic_measure_5m_img.25654775.202505212355,82,,2810620,1,20250521,2355,6,5,1,0,2,2,0,0,0,,,,0,,,,,,3,202505212355,39.67388903878944,140.152222,,,blue
t_travospublic_measure_5m_img.25654776.202505212355,82,,2810630,1,20250521,2355,9,9,0,0,19,16,3,0,0,,,,0,,,,,,3,202505212355,39.69425003880535,140.122194,,,blue
t_travospublic_measure_5m_img.25654777.202505212355,82,,2810640,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.42574103771099,140.376255,,,blue
t_travospublic_measure_5m_img.25654778.202505212355,82,,2810960,1,20250521,2355,1,0,1,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.26398203922775,141.40187,,,blue
t_travospublic_measure_5m_img.25654779.202505212355,82,,2810970,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.4453010393529,141.638612,,,blue
t_travospublic_measure_5m_img.25654780.202505212355,82,,2810980,1,20250521,2355,16,12,4,0,16,14,2,0,0,,,,0,,,,,,3,202505212355,40.30396403925574,141.3059,,,blue
t_travospublic_measure_5m_img.25654781.202505212355,82,,2810990,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,40.60361303945845,141.404748,,,blue
t_travospublic_measure_5m_img.25654782.202505212355,82,,2811030,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,39.608922038738314,140.57135,,,blue
t_travospublic_measure_5m_img.25654783.202505212355,82,,2811080,1,20250521,2355,2,2,0,0,1,0,1,0,0,,,,0,,,,,,3,202505212355,38.73957803800097,140.241932,,,blue
t_travospublic_measure_5m_img.25654784.202505212355,82,,2811090,1,20250521,2355,1,1,0,0,2,0,2,0,0,,,,0,,,,,,3,202505212355,38.73790803799946,140.135331,,,blue
t_travospublic_measure_5m_img.25654785.202505212355,82,,2811100,1,20250521,2355,,,,,,,,,1,,,,0,,,,,,3,202505212355,38.79085003804716,139.993766,,,blue
t_travospublic_measure_5m_img.25654786.202505212355,82,,2811180,1,20250521,2355,0,0,0,0,0,0,0,0,0,,,,0,,,,,,3,202505212355,38.49628003777725,139.970303,,,blue
t_travospublic_measure_5m_img.25654787.202505212355,83,,3810010,1,20250521,2355,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505212355,35.23222203411103,139.112514,,,blue
