id,lat,lng,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード
t_travospublic_measure_5m.25997422.202505201245,39.24089902,139.9362623,82,,2110203,1,20250520,1245,6,2,0,0,0,0,0,4,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997423.202505201245,39.29049089,139.9747431,82,,2110204,1,20250520,1245,14,6,0,0,0,0,0,0,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997424.202505201245,39.11912904,139.876447,82,,2110205,1,20250520,1245,17,4,0,0,0,0,0,8,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997425.202505201245,39.38953604,140.030682,82,,2110208,1,20250520,1245,75,3,0,0,0,0,0,34,4,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997426.202505201245,39.79539904,140.0622,82,,2110210,1,20250520,1245,48,2,0,0,0,0,0,63,5,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997427.202505201245,39.71847204,140.083211,82,,2110212,1,20250520,1245,19,2,0,0,0,0,0,31,9,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997428.202505201245,39.52539936,140.0518185,82,,2110213,1,20250520,1245,21,3,0,0,0,0,0,21,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997429.202505201245,39.90494616,140.076382,82,,2110214,1,20250520,1245,15,2,0,0,0,0,0,21,5,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997430.202505201245,40.06583334,140.0683333,82,,2110215,1,20250520,1245,24,3,0,0,0,0,0,13,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997431.202505201245,40.26527784,140.5313889,82,,2110216,1,20250520,1245,11,6,2,0,0,0,0,20,5,0,0,0,0,0,3,202505201245
