地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2
85,21,5810370,1,20250529,1400,18,6,,18,20,,0,,0,,0,0,0,0,,0,3,202505291400,35.81618803485076,137.683244,,
85,21,5810380,1,20250529,1400,17,11,,16,6,,0,,0,,0,0,0,0,,0,3,202505291400,35.91502403497266,137.77069,,
85,21,5810390,1,20250529,1400,3,3,,13,3,,0,,0,,0,0,0,0,,0,3,202505291400,35.93471103499681,137.786917,,
85,21,5810490,1,20250529,1400,61,3,,51,11,,0,,0,,0,0,0,0,,0,3,202505291400,35.371615034290606,136.644153,,
85,21,5810500,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,35.365209034282394,136.485668,,
85,21,5810510,1,20250529,1400,7,4,,10,1,,0,,0,,0,0,0,0,,0,3,202505291400,35.37112003428997,136.453326,,
85,24,5810700,1,20250529,1400,58,34,,32,33,,0,,0,,0,0,0,0,,0,3,202505291400,34.850220033609624,136.416645,,
85,24,5810730,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.62822503331218,135.986212,,
85,21,5810760,1,20250529,1400,22,7,,12,8,,0,,0,,0,0,0,0,,0,3,202505291400,35.55276203452119,137.177488,,
85,21,5810770,1,20250529,1400,6,2,,2,0,,0,,0,,0,0,0,0,,0,3,202505291400,35.64602003463866,137.169715,,
85,21,5810780,1,20250529,1400,25,3,,9,3,,0,,0,,0,0,0,0,,0,3,202505291400,35.667031034665,137.162564,,
85,21,5810790,1,20250529,1400,16,3,,14,8,,0,,0,,0,0,0,0,,0,3,202505291400,35.74291003475978,137.208481,,
85,21,5810800,1,20250529,1400,15,3,,15,5,,0,,0,,0,0,0,0,,0,3,202505291400,35.77947703480525,137.252586,,
85,21,5810810,1,20250529,1400,27,8,,28,7,,0,,0,,0,0,0,0,,0,3,202505291400,35.83471903487371,137.232014,,
85,21,5810830,1,20250529,1400,19,3,,10,5,,0,,0,,0,0,0,0,,0,3,202505291400,36.02357503510535,137.294767,,
85,21,5810840,1,20250529,1400,34,2,,22,4,,0,,0,,0,0,0,0,,0,3,202505291400,36.10871303520861,137.266233,,
85,21,5810850,1,20250529,1400,17,9,,31,11,,0,,0,,0,0,0,0,,0,3,202505291400,36.12373303522673,137.258932,,
85,21,5810860,1,20250529,1400,7,5,,11,6,,0,,0,,0,0,0,0,,0,3,202505291400,36.25072803537914,137.162845,,
85,21,5810880,1,20250529,1400,14,2,,9,0,,0,,0,,0,0,0,0,,0,3,202505291400,36.31423303545473,137.259675,,
85,21,5811150,1,20250529,1400,20,4,,18,9,,0,,0,,0,0,0,0,,0,3,202505291400,35.46219703440631,137.756093,,
85,21,5811160,1,20250529,1400,12,4,,22,3,,0,,0,,0,0,0,0,,0,3,202505291400,35.50206103445697,137.792544,,
85,21,5811190,1,20250529,1400,20,6,,16,3,,0,,0,,0,0,0,0,,0,3,202505291400,35.601941034583234,136.937212,,
85,21,5811210,1,20250529,1400,16,6,,16,1,,0,,0,,0,0,0,0,,0,3,202505291400,35.86111303490629,136.863612,,
85,21,5811230,1,20250529,1400,21,3,,29,7,,0,,0,,0,0,0,0,,0,3,202505291400,36.13868903524477,137.164639,,
85,21,5811240,1,20250529,1400,0,0,,12,1,,0,,0,,0,0,0,0,,0,3,202505291400,36.16135703527206,137.222749,,
85,21,5811270,1,20250529,1400,20,13,,15,10,,0,,0,,0,0,0,0,,0,3,202505291400,35.23023303410846,136.596679,,
85,21,5811330,1,20250529,1400,3,3,,9,5,,0,,0,,0,0,0,0,,0,3,202505291400,35.46731303441282,137.78409,,
86,,6810010,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.89694403367168,136.336111,,
86,,6810020,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.97777803377855,135.901667,,
86,,6810030,1,20250529,1400,,,,,,,1,,0,,0,1,1,0,,0,3,202505291400,35.00527803381478,136.094722,,
86,,6810040,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.98861103379282,135.788056,,
86,,6810050,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.987222033791,135.75305600000002,,
86,,6810089,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.978118033779,135.908546,,
86,,6810090,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.83138903358458,135.72305600000004,,
86,,6810100,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.83138903358458,135.723889,,
86,,6810130,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,34.842500033599364,134.330556,,
86,,6810135,1,20250529,1400,33,13,,18,10,,0,,0,,0,0,0,0,,0,3,202505291400,36.18333336529846,136.26777780000003,,
86,,6810140,1,20250529,1400,40,16,,49,27,,0,,0,,0,0,0,0,,0,3,202505291400,36.14305603525003,136.263889,,
86,,6810150,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,36.0772220351705,136.244444,,
86,,6810160,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,36.02444403510641,136.218333,,
86,,6810165,1,20250529,1400,63,13,,48,18,,0,,0,,0,0,0,0,,0,3,202505291400,35.980555595052905,136.1958333,,
86,,6810170,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,35.95555603502233,136.188889,,
86,,6810180,1,20250529,1400,29,7,,30,2,,0,,0,,0,0,0,0,,0,3,202505291400,35.878333034927515,136.169444,,
86,,6810190,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,35.719444034730536,136.094722,,
86,,6810200,1,20250529,1400,6,2,,10,1,,0,,0,,0,0,0,0,,0,3,202505291400,35.66555603466316,136.083056,,
86,,6810220,1,20250529,1400,14,9,,14,3,,0,,0,,0,0,0,0,,0,3,202505291400,35.60416703458605,136.107222,,
86,,6810230,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,35.57603003455058,136.122756,,
86,,6810240,1,20250529,1400,,,,,,,1,,0,,0,0,0,0,,0,3,202505291400,35.512778034470564,136.173333,,
