地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー
84,,4110010,1,20250614,205,18,0,0,0,0,0,0,22,7,0,0,0,0,0,3,202506140205,37.932215037230314,139.139722,,,,,,,,,,,,
84,,4110020,1,20250614,205,5,2,0,0,0,0,0,8,0,0,0,0,0,0,3,202506140205,37.96100603725917,139.354741,,,,,,,,,,,,
84,,4110030,1,20250614,205,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,202506140205,38.540634037818585,139.550276,,,,,,,,,,,,
84,,4110040,1,20250614,205,27,9,0,0,0,0,0,27,5,0,0,0,0,0,3,202506140205,37.89993403719785,139.068639,139.0649569,37.8988954271968,,,,,,,,,,
84,,4110060,1,20250614,205,3,1,1,0,0,0,0,5,1,0,0,0,0,0,3,202506140205,37.56415502685272,138.8938299,,,,,,,,,,,,
84,,4110070,1,20250614,205,6,0,0,0,0,0,0,3,0,0,0,0,0,0,3,202506140205,37.44889503673119,138.76828100000003,,,,,,,,,,,,
84,,4110090,1,20250614,205,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,202506140205,36.97923003622018,137.642048,,,,,,,,,,,,
84,,4110110,1,20250614,205,11,0,1,0,0,0,0,5,5,0,0,0,0,0,3,202506140205,36.737147395947105,137.3387361,137.3387361,36.737147395947105,,,,,,,,,,
84,,4110120,1,20250614,205,7,1,0,0,0,0,0,8,1,1,0,0,0,0,3,202506140205,36.74295939595373,137.1063924,,,,,,,,,,,,
84,,4110130,1,20250614,205,7,3,0,0,0,0,0,10,2,0,0,0,0,0,3,202506140205,36.75988562597303,137.0465469,,,,,,,,,,,,
84,,4110140,1,20250614,205,8,1,1,0,0,0,0,3,0,1,0,0,0,0,3,202506140205,36.6765250558777,136.8260425,,,,,,,,,,,,
84,,4110150,1,20250614,205,15,2,0,0,0,0,0,10,8,0,0,0,0,0,3,202506140205,36.589046875776866,136.6271782,136.6276288,36.58868075577644,,,,,,,,,,
84,,4110160,1,20250614,205,9,2,0,0,0,0,0,7,1,0,0,0,0,0,3,202506140205,36.33272803547666,136.42083400000004,,,,,,,,,,,,
84,,4110170,1,20250614,205,2,3,0,0,0,0,0,3,1,0,0,0,0,0,3,202506140205,36.295882035432925,136.303694,,,,,,,,,,,,
84,,4110180,1,20250614,205,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,202506140205,37.35568202663179,138.5718066,,,,,,,,,,,,
84,,4110190,1,20250614,205,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,202506140205,36.785345316001994,138.8016209,,,,,,,,,,,,
84,,4110200,1,20250614,205,2,2,0,0,0,0,0,2,1,0,0,0,0,0,3,202506140205,37.05929117630906,138.8725331,,,,,,,,,,,,
84,,4110210,1,20250614,205,4,0,2,0,0,0,0,5,0,1,0,0,0,0,3,202506140205,37.379305636657065,138.8344324,,,,,,,,,,,,
84,,4110220,1,20250614,205,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,202506140205,36.859512036085945,138.194944,,,,,,,,,,,,
84,,4110230,1,20250614,205,5,0,0,0,0,0,0,2,1,0,0,0,0,0,3,202506140205,36.59277686578118,137.2042608,,,,,,,,,,,,
84,,4110240,1,20250614,205,21,1,0,0,0,0,0,7,0,0,0,0,0,0,3,202506140205,36.68543044588792,137.2119749,,,,,,,,,,,,
84,,4110250,1,20250614,205,4,4,0,0,0,0,0,5,1,0,0,0,0,0,3,202506140205,37.66099003695361,139.47592,,,,,,,,,,,,
84,,4110260,1,20250614,205,4,1,0,0,0,0,0,0,2,0,0,0,0,0,3,202506140205,38.081379037378746,139.576978,,,,,,,,,,,,
84,,4110270,1,20250614,205,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,202506140205,37.60222103689251,138.798415,,,,,,,,,,,,
84,,4110280,1,20250614,205,4,2,0,0,0,0,0,8,0,0,0,0,0,0,3,202506140205,36.650611795847915,136.963672,,,,,,,,,,,,
84,,4110290,1,20250614,205,7,1,0,0,0,0,0,3,1,0,0,0,0,0,3,202506140205,36.52124203569812,136.587868,,,,,,,,,,,,
84,,4110300,1,20250614,205,5,1,0,0,1,0,0,3,0,0,0,0,0,0,3,202506140205,36.59043403577848,136.685666,136.68521,36.59039903577843,,,,,,,,,,
84,,4110310,1,20250614,205,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202506140205,37.0464990362949,137.047738,,,,,,,,,,,,
84,,4110320,1,20250614,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506140205,36.8686864160963,136.96136,,,,,,,,,,,,
84,,4110330,1,20250614,205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,202506140205,36.83313510605615,136.9442582,,,,,,,,,,,,
84,,4110340,1,20250614,205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202506140205,36.75969223597281,136.9658715,,,,,,,,,,,,
84,,4110350,1,20250614,205,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,202506140205,37.240650036507716,136.905469,,,,,,,,,,,,
84,,4110351,1,20250614,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506140205,37.31000403658269,136.9066,,,,,,,,,,,,
84,,4110370,1,20250614,205,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,202506140205,37.83527203713243,139.227435,,,,,,,,,,,,
84,,4110371,1,20250614,205,1,4,0,0,0,0,0,4,0,0,0,0,0,0,3,202506140205,37.829370037126424,139.20906,,,,,,,,,,,,
84,,4110380,1,20250614,205,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,202506140205,37.73164303702653,139.333641,,,,,,,,,,,,
