地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2
86,,6810560,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.24805603279281,135.175,,
86,,6810130,1,20250702,2355,2,0,,4,3,,0,,0,,0,0,0,0,,0,3,202507022355,34.842500033599364,134.330556,,
86,,6810135,1,20250702,2355,4,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,36.18333336529846,136.26777780000003,,
86,,6810140,1,20250702,2355,7,1,,2,1,,0,,0,,0,0,0,0,,0,3,202507022355,36.14305603525003,136.263889,,
86,,6810150,1,20250702,2355,20,2,,3,0,,0,,0,,0,0,0,0,,0,3,202507022355,36.0772220351705,136.244444,,
86,,6810160,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,36.02444403510641,136.218333,,
86,,6810165,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.980555595052905,136.1958333,,
86,,6810170,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.95555603502233,136.188889,,
86,,6810180,1,20250702,2355,0,0,,0,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.878333034927515,136.169444,,
86,,6810190,1,20250702,2355,2,1,,4,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.719444034730536,136.094722,,
86,,6810200,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.66555603466316,136.083056,,
86,,6810220,1,20250702,2355,0,0,,1,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.60416703458605,136.107222,,
86,,6810230,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.57603003455058,136.122756,,
86,,6810240,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.512778034470564,136.173333,,
86,,6810241,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.4322160343681,136.245092,,
86,,6810250,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.27555603416706,136.269444,,
86,,6810260,1,20250702,2355,1,1,,2,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.11611103396005,136.128333,,
86,,6810270,1,20250702,2355,5,1,,7,4,,0,,0,,0,0,0,0,,0,3,202507022355,35.091944033928485,136.089722,,
86,,6810280,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.66000003465618,136.084722,,
86,,6810290,1,20250702,2355,10,1,,8,2,,0,,0,,0,0,0,0,,0,3,202507022355,34.996111033802705,135.722222,,
86,,6810300,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.981944033784046,135.693056,,
86,,6810310,1,20250702,2355,9,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.981944033784046,135.692917,,
86,,6810320,1,20250702,2355,4,1,,8,1,,0,,0,,0,0,0,0,,0,3,202507022355,34.992500033797945,135.64750000000004,,
86,,6810330,1,20250702,2355,2,2,,11,1,,0,,0,,0,0,0,0,,0,3,202507022355,34.989722033794294,135.636667,,
86,,6810335,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.488936034440314,135.756215,,
86,,6810340,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.12222203396803,135.439444,,
