FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・自動車交通量,上り・小型交通量,上り・大型交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型交通量,下り・大型交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,color
t_travospublic_measure_5m_img.23719684.202505141430,81,02,1810010,1,20250514,1430,10,6,4,0,33,31,2,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,41.996809040234545,140.63609,,,blue
t_travospublic_measure_5m_img.23719685.202505141430,81,02,1810020,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.079752040271956,140.596961,,,blue
t_travospublic_measure_5m_img.23719686.202505141430,81,02,1810030,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.18194404031664,140.438889,,,blue
t_travospublic_measure_5m_img.23719687.202505141430,81,02,1810040,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.21583304033111,140.385,,,blue
t_travospublic_measure_5m_img.23719688.202505141430,81,02,1810050,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.29972204036625,140.271667,,,blue
t_travospublic_measure_5m_img.23719689.202505141430,81,03,1810060,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,42.70250004052043,140.42222,,,blue
t_travospublic_measure_5m_img.23719690.202505141430,81,03,1810070,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,42.805277040555936,140.52666,,,blue
t_travospublic_measure_5m_img.23719691.202505141430,81,03,1810080,1,20250514,1430,15,15,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.79952604055398,140.700552,,,blue
t_travospublic_measure_5m_img.23719692.202505141430,81,03,1810100,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,43.037777040630445,140.678611,,,blue
t_travospublic_measure_5m_img.23719693.202505141430,81,03,1810110,1,20250514,1430,31,25,6,0,46,39,7,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,43.20720804067966,140.975798,,,blue
t_travospublic_measure_5m_img.23719694.202505141430,81,03,1810120,1,20250514,1430,79,73,6,0,88,80,8,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,43.177556040671355,141.041001,,,blue
t_travospublic_measure_5m_img.23719695.202505141430,81,02,1810130,1,20250514,1430,63,54,9,0,43,38,5,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,41.881664040180986,140.72083,,,blue
t_travospublic_measure_5m_img.23719696.202505141430,81,02,1810140,1,20250514,1430,53,45,8,0,33,24,9,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,41.922053040199984,140.673037,,,blue
t_travospublic_measure_5m_img.23719697.202505141430,81,01,1810160,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,43.575214040771755,141.936064,,,blue
t_travospublic_measure_5m_img.23719698.202505141430,81,04,1810180,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,43.75527804080939,142.273889,,,blue
t_travospublic_measure_5m_img.23719699.202505141430,81,01,1810200,1,20250514,1430,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505141430,42.92800104059627,141.532244,,,blue
t_travospublic_measure_5m_img.23719700.202505141430,81,01,1810210,1,20250514,1430,67,49,18,0,26,19,7,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.86212604057491,141.599922,,,blue
t_travospublic_measure_5m_img.23719701.202505141430,81,05,1810220,1,20250514,1430,50,42,8,0,68,55,13,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.736385040532305,141.709144,,,blue
t_travospublic_measure_5m_img.23719702.202505141430,81,05,1810240,1,20250514,1430,39,29,10,0,38,34,4,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.44474904042452,141.159993,,,blue
t_travospublic_measure_5m_img.23719703.202505141430,81,05,1810250,1,20250514,1430,68,61,7,0,48,45,3,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.32896604037825,140.996368,,,blue
t_travospublic_measure_5m_img.23719704.202505141430,81,02,1810260,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.59861104048294,140.461667,,,blue
t_travospublic_measure_5m_img.23719705.202505141430,81,05,1810270,1,20250514,1430,7,7,0,0,19,11,8,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.59319704048096,140.520753,,,blue
t_travospublic_measure_5m_img.23719706.202505141430,81,05,1810280,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.59372804048115,140.535945,,,blue
t_travospublic_measure_5m_img.23719707.202505141430,81,05,1810290,1,20250514,1430,22,16,6,0,19,14,5,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,42.56267604046962,140.742626,,,blue
t_travospublic_measure_5m_img.23719708.202505141430,81,01,1810310,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,43.57408404077149,141.983838,,,blue
t_travospublic_measure_5m_img.23719709.202505141430,81,01,1810320,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,43.47080004074768,142.266721,,,blue
t_travospublic_measure_5m_img.23719710.202505141430,81,04,1810330,1,20250514,1430,8,3,5,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,43.39305604072871,142.348056,,,blue
t_travospublic_measure_5m_img.23719711.202505141430,81,04,1810340,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,43.27194404069734,142.385,,,blue
t_travospublic_measure_5m_img.23719712.202505141430,81,04,1810350,1,20250514,1430,7,5,2,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,3,202505141430,43.197222040676884,142.575556,,,blue
t_travospublic_measure_5m_img.23719713.202505141430,81,07,1810360,1,20250514,1430,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505141430,43.15732804066562,142.786759,,,blue
t_travospublic_measure_5m_img.23719714.202505141430,81,07,1810370,1,20250514,1430,,,,,,,,,1,,,,,,,,,,3,202505141430,42.814306040558975,143.51125,,,blue
t_travospublic_measure_5m_img.23719715.202505141430,81,07,1810380,1,20250514,1430,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141430,42.82106404056124,143.710554,,,blue
