FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・自動車交通量,上り・小型交通量,上り・大型交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型交通量,下り・大型交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,color
t_travospublic_measure_5m_img.23716008.202505141410,81,02,1810010,1,20250514,1410,12,5,7,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,41.996809040234545,140.63609,,,blue
t_travospublic_measure_5m_img.23716009.202505141410,81,02,1810020,1,20250514,1410,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141410,42.079752040271956,140.596961,,,blue
t_travospublic_measure_5m_img.23716010.202505141410,81,02,1810030,1,20250514,1410,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141410,42.18194404031664,140.438889,,,blue
t_travospublic_measure_5m_img.23716011.202505141410,81,02,1810040,1,20250514,1410,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141410,42.21583304033111,140.385,,,blue
t_travospublic_measure_5m_img.23716012.202505141410,81,02,1810050,1,20250514,1410,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141410,42.29972204036625,140.271667,,,blue
t_travospublic_measure_5m_img.23716013.202505141410,81,03,1810060,1,20250514,1410,,,,,,,,,1,,,,,,,,,,3,202505141410,42.70250004052043,140.42222,,,blue
t_travospublic_measure_5m_img.23716014.202505141410,81,03,1810070,1,20250514,1410,,,,,,,,,1,,,,,,,,,,3,202505141410,42.805277040555936,140.52666,,,blue
t_travospublic_measure_5m_img.23716015.202505141410,81,03,1810080,1,20250514,1410,22,18,4,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,42.79952604055398,140.700552,,,blue
t_travospublic_measure_5m_img.23716016.202505141410,81,03,1810100,1,20250514,1410,,,,,,,,,1,,,,,,,,,,3,202505141410,43.037777040630445,140.678611,,,blue
t_travospublic_measure_5m_img.23716017.202505141410,81,03,1810110,1,20250514,1410,35,32,3,0,32,26,6,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,43.20720804067966,140.975798,,,blue
t_travospublic_measure_5m_img.23716018.202505141410,81,03,1810120,1,20250514,1410,79,68,11,0,88,76,12,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,43.177556040671355,141.041001,,,blue
t_travospublic_measure_5m_img.23716019.202505141410,81,02,1810130,1,20250514,1410,56,53,3,0,38,33,5,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,41.881664040180986,140.72083,,,blue
t_travospublic_measure_5m_img.23716020.202505141410,81,02,1810140,1,20250514,1410,37,35,2,0,38,35,3,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,41.922053040199984,140.673037,,,blue
t_travospublic_measure_5m_img.23716021.202505141410,81,01,1810160,1,20250514,1410,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505141410,43.575214040771755,141.936064,,,blue
t_travospublic_measure_5m_img.23716022.202505141410,81,04,1810180,1,20250514,1410,,,,,,,,,1,,,,,,,,,,3,202505141410,43.75527804080939,142.273889,,,blue
t_travospublic_measure_5m_img.23716023.202505141410,81,01,1810200,1,20250514,1410,92,74,18,0,86,71,15,0,0,0,0,0,0,0,0,0,0,0,3,202505141410,42.92800104059627,141.532244,,,blue
