地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20260429,,,,0,0,0,210,,,,0,0,0,210,3,41.93108757020422,140.6421045,,,,,,,,,,,,,210,red,0,0,0
81,02,1110020,1,20260429,3811,787,0,0,0,0,0,3177,702,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,210,red,4598,3879,8477
81,03,1110030,1,20260429,838,132,0,0,0,0,0,731,127,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,210,red,970,858,1828
81,03,1110050,1,20260429,3523,396,0,0,0,0,0,4013,568,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,210,red,3919,4581,8500
81,03,1110060,1,20260429,5303,299,0,0,0,0,0,5619,470,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,210,red,5602,6089,11691
81,03,1110080,1,20260429,11215,648,0,0,0,0,0,12681,811,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,210,red,11863,13492,25355
81,01,1110090,1,20260429,11118,560,0,0,0,0,0,10091,461,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,210,red,11678,10552,22230
81,02,1110100,1,20260429,9637,991,0,0,0,0,0,8612,848,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,210,red,10628,9460,20088
81,02,1110110,1,20260429,7007,598,6,0,0,0,3,5295,669,3,0,0,0,3,3,41.912032390195286,140.6922376,,,,,,,,,,,,,210,red,7611,5967,13578
81,03,1110120,1,20260429,268,28,10,0,0,0,0,298,26,5,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,210,red,306,329,635
81,01,1110130,1,20260429,7739,391,0,0,0,0,0,7597,376,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,210,red,8130,7973,16103
81,01,1110140,1,20260429,4298,374,0,0,0,0,0,4174,354,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,210,red,4672,4528,9200
81,04,1110150,1,20260429,6239,717,0,0,0,0,0,6877,860,0,0,0,0,0,3,43.72677055080375,142.2114419,,,,,,,,,,,,,210,red,6956,7737,14693
81,04,1110160,1,20260429,5408,353,1879,0,0,0,0,8015,706,184,0,0,0,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,210,red,7640,8905,16545
81,01,1110170,1,20260429,36,1,5,0,0,210,0,0,0,0,0,0,210,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,210,red,42,0,42
81,05,1110180,1,20260429,8638,826,0,0,0,0,0,8490,807,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,210,red,9464,9297,18761
81,05,1110190,1,20260429,7263,435,57,0,0,0,0,7506,420,43,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,210,red,7755,7969,15724
81,05,1110200,1,20260429,0,0,0,0,0,210,0,2590,0,0,0,0,0,0,3,42.60033645048358,140.6268309,,,,,,,,,,,,,210,red,0,2590,2590
81,05,1110210,1,20260429,,,,0,0,0,210,,,,0,0,0,210,3,42.5365891004598,140.7745375,,,,,,,,,,,,,210,red,0,0,0
81,01,1110220,1,20260429,2259,191,0,0,0,0,0,2226,188,0,0,0,0,0,3,43.53094035076174,142.1739006,,,,,,,,,,,,,210,red,2450,2414,4864
81,04,1110230,1,20260429,2327,185,0,0,0,0,0,2812,219,0,0,0,0,0,3,43.34512772071654,142.3775876,,,,,,,,,,,,,210,red,2512,3031,5543
