地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20250804,8017,2682,0,0,0,0,0,6813,2062,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,202,red,10699,8875,19574
81,02,1110020,1,20250804,2929,1191,0,0,0,0,0,2601,891,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,202,red,4120,3492,7612
81,03,1110030,1,20250804,688,177,0,0,0,0,0,636,159,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,202,red,865,795,1660
81,03,1110050,1,20250804,3283,803,0,0,0,0,0,3926,976,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,202,red,4086,4902,8988
81,03,1110060,1,20250804,4935,670,0,0,0,0,0,5260,823,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,202,red,5605,6083,11688
81,03,1110080,1,20250804,4423,932,0,0,0,202,0,4935,1108,0,0,0,202,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,202,red,5355,6043,11398
81,01,1110090,1,20250804,13303,1032,0,0,0,0,0,11156,867,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,202,red,14335,12023,26358
81,02,1110100,1,20250804,9467,1339,0,0,0,0,0,8679,1057,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,202,red,10806,9736,20542
81,02,1110110,1,20250804,6442,911,6,0,0,0,1,4939,946,7,0,0,0,1,3,41.912032390195286,140.6922376,,,,,,,,,,,,,202,red,7359,5892,13251
81,03,1110120,1,20250804,271,37,11,0,0,0,0,359,48,28,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,202,red,319,435,754
81,01,1110130,1,20250804,7258,799,0,0,0,0,0,6773,781,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,202,red,8057,7554,15611
81,01,1110140,1,20250804,3537,711,0,0,0,0,0,3276,732,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,202,red,4248,4008,8256
81,04,1110150,1,20250804,,,,0,0,0,202,,,,0,0,0,202,3,43.72677055080375,142.2114419,,,,,,,,,,,,,202,red,0,0,0
81,04,1110160,1,20250804,7163,1333,95,0,0,0,0,7541,1439,243,0,0,0,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,202,red,8591,9223,17814
81,01,1110170,1,20250804,0,0,0,0,0,202,0,0,0,0,0,0,202,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,202,red,0,0,0
81,05,1110180,1,20250804,7877,1350,0,0,0,0,0,9029,1315,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,202,red,9227,10344,19571
81,05,1110190,1,20250804,7519,1006,76,0,0,0,0,7374,938,42,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,202,red,8601,8354,16955
81,05,1110200,1,20250804,0,0,0,0,0,202,0,2196,0,0,0,0,0,0,3,42.60033645048358,140.6268309,,,,,,,,,,,,,202,red,0,2196,2196
81,05,1110210,1,20250804,3396,364,50,0,0,0,0,3328,574,52,0,0,0,0,3,42.5365891004598,140.7745375,,,,,,,,,,,,,202,red,3810,3954,7764
81,01,1110220,1,20250804,2263,354,0,0,0,0,0,2194,354,0,0,0,0,0,3,43.53094035076174,142.1739006,,,,,,,,,,,,,202,red,2617,2548,5165
81,04,1110230,1,20250804,2986,308,0,0,0,0,0,3244,318,0,0,0,0,0,3,43.34512772071654,142.3775876,,,,,,,,,,,,,202,red,3294,3562,6856
81,04,1110240,1,20250804,0,0,1505,0,0,202,0,0,0,1527,0,0,202,0,3,43.16136634066676,142.5754595,,,,,,,,,,,,,202,red,1505,1527,3032
81,07,1110250,1,20250804,2162,722,0,0,0,0,0,2558,829,0,0,0,0,0,3,42.96760298060881,142.8955221,,,,,,,,,,,,,202,red,2884,3387,6271
81,07,1110260,1,20250804,4450,463,84,0,0,0,0,3895,407,53,0,0,0,0,3,42.91673291059265,143.2700872,,,,,,,,,,,,,202,red,4997,4355,9352
81,07,1110270,1,20250804,646,305,0,0,0,0,0,670,396,0,0,0,0,0,3,42.832729040565155,143.765979,,,,,,,,,,,,,202,red,951,1066,2017
81,06,1110280,1,20250804,3090,802,0,0,0,0,0,3690,995,0,0,0,0,0,3,43.002010860619514,144.2464972,,,,,,,,,,,,,202,red,3892,4685,8577
81,06,1110281,1,20250804,4036,1190,0,0,0,0,0,5041,985,0,0,0,0,0,3,43.03483108062955,144.3754256,,,,,,,,,,,,,202,red,5226,6026,11252
81,06,1110282,1,20250804,0,0,0,1,0,200,2,3200,291,0,1,0,0,2,3,43.01628558062389,144.4224501,,,,,,,,,,,,,202,red,0,3491,3491
81,06,1110283,1,20250804,1678,750,0,0,0,0,0,1548,555,0,0,0,0,0,3,43.00268904061971,144.473627,,,,,,,,,,,,,202,red,2428,2103,4531
81,04,1110290,1,20250804,3596,457,0,0,0,0,0,3191,392,0,0,0,0,0,3,43.818808430821484,142.4472365,,,,,,,,,,,,,202,red,4053,3583,7636
81,04,1110300,1,20250804,777,224,2,0,0,0,0,0,0,920,0,0,202,0,3,43.84888899082702,142.7445245,,,,,,,,,,,,,202,red,1003,920,1923
81,04,1110310,1,20250804,1058,466,7,0,0,0,0,0,0,1463,0,0,202,0,3,43.781536430814455,142.9022169,,,,,,,,,,,,,202,red,1531,1463,2994
81,08,1110320,1,20250804,715,261,0,0,202,0,0,905,260,0,0,202,0,0,3,43.750539740808456,143.4918536,,,,,,,,,,,,,202,red,976,1165,2141
81,08,1110330,1,20250804,3996,311,66,0,0,0,0,4820,457,0,0,202,0,0,3,43.79818204081763,143.833134,,,,,,,,,,,,,202,red,4373,5277,9650
81,08,1110331,1,20250804,1408,469,0,0,0,0,0,1424,366,0,0,0,0,0,3,43.7822242308146,143.8981667,,,,,,,,,,,,,202,red,1877,1790,3667
81,08,1110332,1,20250804,1228,416,0,0,0,0,0,1130,330,0,0,0,0,0,3,43.80292804081852,143.926029,,,,,,,,,,,,,202,red,1644,1460,3104
81,08,1110340,1,20250804,1267,213,364,0,0,0,0,1261,211,7,0,0,0,0,3,43.85309704082778,144.102175,,,,,,,,,,,,,202,red,1844,1479,3323
81,08,1110350,1,20250804,2073,223,0,0,0,0,0,1629,217,0,0,0,0,0,3,43.87040004083089,144.150466,,,,,,,,,,,,,202,red,2296,1846,4142
81,04,1110360,1,20250804,4795,914,0,0,0,0,0,4469,901,0,0,0,0,0,3,43.81954965082163,142.4087173,,,,,,,,,,,,,202,red,5709,5370,11079
