地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20251101,7932,1505,0,1,0,0,0,6505,1438,0,1,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,201,red,9437,7943,17380
81,02,1110020,1,20251101,3768,782,0,0,0,0,0,3075,607,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,201,red,4550,3682,8232
81,03,1110030,1,20251101,748,104,0,0,0,0,0,691,93,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,201,red,852,784,1636
81,03,1110050,1,20251101,3264,404,0,0,0,0,0,3772,571,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,201,red,3668,4343,8011
81,03,1110060,1,20251101,4494,373,0,0,0,0,0,4279,491,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,201,red,4867,4770,9637
81,03,1110080,1,20251101,9118,755,0,0,0,0,0,8872,801,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,201,red,9873,9673,19546
81,01,1110090,1,20251101,11886,630,0,0,0,0,0,11056,500,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,201,red,12516,11556,24072
81,02,1110100,1,20251101,8638,908,0,0,0,0,0,8181,753,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,201,red,9546,8934,18480
81,02,1110110,1,20251101,6012,585,7,0,0,0,1,4762,703,9,0,0,0,1,3,41.912032390195286,140.6922376,,,,,,,,,,,,,201,red,6604,5474,12078
81,03,1110120,1,20251101,274,30,5,0,0,0,0,275,24,5,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,201,red,309,304,613
81,01,1110130,1,20251101,7287,385,0,0,0,0,0,7693,404,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,201,red,7672,8097,15769
81,01,1110140,1,20251101,3945,418,0,0,0,0,0,3926,391,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,201,red,4363,4317,8680
81,04,1110150,1,20251101,,,,0,0,0,201,,,,0,0,0,201,3,43.72677055080375,142.2114419,,,,,,,,,,,,,201,red,0,0,0
81,04,1110160,1,20251101,7846,879,45,0,0,0,0,8158,890,154,0,0,0,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,201,red,8770,9202,17972
81,01,1110170,1,20251101,0,0,0,0,0,201,0,0,0,0,0,0,201,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,201,red,0,0,0
