地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20250817,9879,1449,0,0,0,0,0,8673,1703,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,202,red,11328,10376,21704
81,02,1110020,1,20250817,4276,389,0,0,0,0,0,4617,392,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,202,red,4665,5009,9674
81,03,1110030,1,20250817,939,86,0,0,0,0,0,973,74,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,202,red,1025,1047,2072
81,03,1110050,1,20250817,4693,318,0,0,0,0,0,4295,337,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,202,red,5011,4632,9643
81,03,1110060,1,20250817,5435,230,0,0,0,0,0,5428,338,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,202,red,5665,5766,11431
81,03,1110080,1,20250817,11232,424,0,0,0,0,0,6552,305,0,0,0,202,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,202,red,11656,6857,18513
81,01,1110090,1,20250817,11112,352,0,0,0,0,0,10460,346,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,202,red,11464,10806,22270
81,02,1110100,1,20250817,10055,606,0,0,0,0,0,9626,458,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,202,red,10661,10084,20745
81,02,1110110,1,20250817,7126,835,2,0,0,0,3,6199,882,5,0,0,0,3,3,41.912032390195286,140.6922376,,,,,,,,,,,,,202,red,7963,7086,15049
81,03,1110120,1,20250817,360,19,8,0,0,0,0,472,24,5,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,202,red,387,501,888
81,01,1110130,1,20250817,9016,249,0,0,0,0,0,8153,217,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,202,red,9265,8370,17635
81,01,1110140,1,20250817,5371,235,0,0,0,0,0,4543,203,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,202,red,5606,4746,10352
81,04,1110150,1,20250817,,,,0,0,0,202,,,,0,0,0,202,3,43.72677055080375,142.2114419,,,,,,,,,,,,,202,red,0,0,0
81,04,1110160,1,20250817,9019,523,69,0,0,0,0,9407,467,247,0,0,0,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,202,red,9611,10121,19732
81,01,1110170,1,20250817,0,0,0,0,0,202,0,0,0,0,0,0,202,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,202,red,0,0,0
81,05,1110180,1,20250817,9542,447,0,0,0,0,0,8584,482,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,202,red,9989,9066,19055
81,05,1110190,1,20250817,7360,304,66,0,0,0,0,8298,286,31,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,202,red,7730,8615,16345
