地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20260116,5825,2197,0,0,0,0,0,4446,1854,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,200,red,8022,6300,14322
81,02,1110020,1,20260116,2275,958,0,0,0,0,0,1633,817,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,200,red,3233,2450,5683
81,03,1110030,1,20260116,452,148,0,0,0,0,0,403,131,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,200,red,600,534,1134
81,03,1110050,1,20260116,2248,559,0,0,0,0,0,3703,801,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,200,red,2807,4504,7311
81,03,1110060,1,20260116,3554,460,0,0,0,0,0,3729,629,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,200,red,4014,4358,8372
81,03,1110080,1,20260116,6670,1183,0,0,0,0,0,6768,960,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,200,red,7853,7728,15581
81,01,1110090,1,20260116,8889,3609,0,0,0,0,0,8324,2722,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,200,red,12498,11046,23544
81,02,1110100,1,20260116,7410,1108,0,0,0,0,0,6800,916,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,200,red,8518,7716,16234
81,02,1110110,1,20260116,4486,887,2,0,0,0,3,3289,763,1,0,0,0,3,3,41.912032390195286,140.6922376,,,,,,,,,,,,,200,red,5375,4053,9428
81,03,1110120,1,20260116,175,44,56,0,0,0,0,193,40,70,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,200,red,275,303,578
81,01,1110130,1,20260116,6294,618,0,0,0,0,0,5636,599,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,200,red,6912,6235,13147
81,01,1110140,1,20260116,2997,697,0,0,0,0,0,2536,595,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,200,red,3694,3131,6825
81,04,1110150,1,20260116,3428,1001,0,0,0,0,0,3955,1102,0,0,0,0,0,3,43.72677055080375,142.2114419,,,,,,,,,,,,,200,red,4429,5057,9486
81,04,1110160,1,20260116,6281,1498,108,0,0,0,0,5839,1141,818,0,0,9,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,200,red,7887,7798,15685
81,01,1110170,1,20260116,0,0,0,0,0,200,0,0,0,0,0,0,200,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,200,red,0,0,0
81,05,1110180,1,20260116,8945,1407,0,0,0,0,0,8629,1263,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,200,red,10352,9892,20244
81,05,1110190,1,20260116,5521,941,2675,0,0,115,0,7128,979,27,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,200,red,9137,8134,17271
81,05,1110200,1,20260116,0,0,0,0,0,200,0,1293,0,0,0,0,0,0,3,42.60033645048358,140.6268309,,,,,,,,,,,,,200,red,0,1293,1293
81,05,1110210,1,20260116,,,,0,0,0,200,,,,0,0,0,200,3,42.5365891004598,140.7745375,,,,,,,,,,,,,200,red,0,0,0
81,01,1110220,1,20260116,1872,466,0,0,0,0,0,1763,436,0,0,0,0,0,3,43.53094035076174,142.1739006,,,,,,,,,,,,,200,red,2338,2199,4537
81,04,1110230,1,20260116,2602,594,0,0,0,0,0,3054,576,0,0,0,0,0,3,43.34512772071654,142.3775876,,,,,,,,,,,,,200,red,3196,3630,6826
81,04,1110240,1,20260116,0,0,935,0,0,200,0,0,0,870,0,0,200,0,3,43.16136634066676,142.5754595,,,,,,,,,,,,,200,red,935,870,1805
81,07,1110250,1,20260116,2216,709,0,0,0,0,0,2416,715,0,0,0,0,0,3,42.96760298060881,142.8955221,,,,,,,,,,,,,200,red,2925,3131,6056
81,07,1110260,1,20260116,4140,521,1066,0,0,0,0,4369,497,35,0,0,0,0,3,42.91673291059265,143.2700872,,,,,,,,,,,,,200,red,5727,4901,10628
81,07,1110270,1,20260116,272,103,0,0,0,0,51,237,145,0,0,0,0,51,3,42.832729040565155,143.765979,,,,,,,,,,,,,200,red,375,382,757
81,06,1110280,1,20260116,2525,628,0,0,0,0,0,3117,731,0,0,0,0,0,3,43.002010860619514,144.2464972,,,,,,,,,,,,,200,red,3153,3848,7001
81,06,1110281,1,20260116,3713,974,0,0,0,0,0,4232,798,0,0,0,0,0,3,43.03483108062955,144.3754256,,,,,,,,,,,,,200,red,4687,5030,9717
81,06,1110282,1,20260116,2625,846,0,0,0,0,0,2200,681,0,0,0,0,0,3,43.01628558062389,144.4224501,,,,,,,,,,,,,200,red,3471,2881,6352
81,06,1110283,1,20260116,1830,592,0,0,0,0,0,1170,367,0,0,0,0,0,3,43.00268904061971,144.473627,,,,,,,,,,,,,200,red,2422,1537,3959
81,04,1110290,1,20260116,1786,399,0,0,0,0,0,2646,354,0,0,0,0,0,3,43.818808430821484,142.4472365,,,,,,,,,,,,,200,red,2185,3000,5185
81,04,1110300,1,20260116,546,198,26,0,0,0,0,0,0,782,0,0,200,0,3,43.84888899082702,142.7445245,,,,,,,,,,,,,200,red,770,782,1552
81,04,1110310,1,20260116,,,,0,0,0,200,,,,0,0,0,200,3,43.781536430814455,142.9022169,,,,,,,,,,,,,200,red,0,0,0
81,08,1110320,1,20260116,452,257,0,0,200,0,0,355,382,0,0,200,0,0,3,43.750539740808456,143.4918536,,,,,,,,,,,,,200,red,709,737,1446
81,08,1110330,1,20260116,4001,422,96,0,0,0,0,3831,1474,0,0,200,0,0,3,43.79818204081763,143.833134,,,,,,,,,,,,,200,red,4519,5305,9824
81,08,1110331,1,20260116,1296,390,0,0,0,0,0,926,219,0,0,0,0,0,3,43.7822242308146,143.8981667,,,,,,,,,,,,,200,red,1686,1145,2831
81,08,1110332,1,20260116,1127,352,0,0,0,0,0,1039,263,0,0,0,0,0,3,43.80292804081852,143.926029,,,,,,,,,,,,,200,red,1479,1302,2781
81,08,1110340,1,20260116,1175,152,129,0,0,0,0,1104,154,4,0,0,0,0,3,43.85309704082778,144.102175,,,,,,,,,,,,,200,red,1456,1262,2718
81,08,1110350,1,20260116,1649,178,0,0,0,0,0,1450,143,0,0,0,0,0,3,43.87040004083089,144.150466,,,,,,,,,,,,,200,red,1827,1593,3420
81,04,1110360,1,20260116,4780,1048,0,0,0,0,0,3993,851,0,0,0,0,0,3,43.81954965082163,142.4087173,,,,,,,,,,,,,200,red,5828,4844,10672
81,04,1110370,1,20260116,218,96,1148,0,0,0,0,1237,242,39,0,0,0,0,3,43.9375450408425,142.46586,,,,,,,,,,,,,200,red,1462,1518,2980
81,04,1110380,1,20260116,186,267,0,0,104,0,96,165,326,0,0,104,0,96,3,44.49445438091255,142.3402834,,,,,,,,,,,,,200,red,453,491,944
81,04,1110390,1,20260116,383,160,0,0,0,0,0,284,91,0,0,0,0,0,3,44.82263847093181,142.0657969,,,,,,,,,,,,,200,red,543,375,918
