地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20260722,6817,2395,0,0,0,0,0,5141,2086,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,212,red,9212,7227,16439
81,02,1110020,1,20260722,2439,1074,0,0,0,0,0,1872,805,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,212,red,3513,2677,6190
81,03,1110030,1,20260722,645,172,0,0,0,0,0,544,167,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,212,red,817,711,1528
81,03,1110050,1,20260722,2810,747,0,0,0,0,0,3576,1015,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,212,red,3557,4591,8148
81,03,1110060,1,20260722,4440,660,0,0,0,0,0,4719,863,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,212,red,5100,5582,10682
81,03,1110080,1,20260722,8786,1432,0,0,0,0,0,8764,1526,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,212,red,10218,10290,20508
81,01,1110090,1,20260722,12352,1044,0,0,0,0,0,9252,821,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,212,red,13396,10073,23469
81,02,1110100,1,20260722,8071,1229,0,0,0,0,0,7303,998,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,212,red,9300,8301,17601
81,02,1110110,1,20260722,5182,894,1,0,0,0,2,3765,863,6,0,0,0,2,3,41.91094404019478,140.69325,,,,,,,,,,,,,212,red,6077,4634,10711
81,03,1110120,1,20260722,220,61,7,0,0,0,0,270,70,8,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,212,red,288,348,636
81,01,1110130,1,20260722,7079,867,0,0,0,0,0,6571,829,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,212,red,7946,7400,15346
81,01,1110140,1,20260722,3357,785,0,0,0,0,0,2990,789,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,212,red,4142,3779,7921
81,04,1110150,1,20260722,4237,1235,0,0,0,0,0,4740,1477,0,0,0,0,0,3,43.72678204080376,142.211538,,,,,,,,,,,,,212,red,5472,6217,11689
81,04,1110160,1,20260722,6829,1246,422,0,0,0,0,7334,1462,208,0,0,0,0,3,43.798283040817644,142.333692,,,,,,,,,,,,,212,red,8497,9004,17501
