地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20260917,7740,2304,0,0,0,0,0,6415,2041,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,233,red,10044,8456,18500
81,02,1110020,1,20260917,2709,1106,0,0,0,0,0,2353,912,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,233,red,3815,3265,7080
81,03,1110030,1,20260917,670,218,0,0,0,0,0,570,230,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,233,red,888,800,1688
81,03,1110050,1,20260917,2958,933,0,0,0,0,0,3930,1165,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,233,red,3891,5095,8986
81,03,1110060,1,20260917,4642,617,0,0,0,0,0,4873,822,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,233,red,5259,5695,10954
81,03,1110080,1,20260917,8964,1635,0,0,0,0,0,9296,1557,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,233,red,10599,10853,21452
81,01,1110090,1,20260917,12772,941,0,0,0,0,0,9724,705,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,233,red,13713,10429,24142
81,02,1110100,1,20260917,8823,1324,0,0,0,0,0,8235,1115,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,233,red,10147,9350,19497
81,02,1110110,1,20260917,5871,784,5,0,0,0,3,4583,860,7,0,0,0,3,3,41.91094404019478,140.69325,,,,,,,,,,,,,233,red,6660,5450,12110
81,03,1110120,1,20260917,290,57,10,0,0,0,0,309,48,17,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,233,red,357,374,731
81,01,1110130,1,20260917,6995,751,0,0,0,0,0,6509,699,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,233,red,7746,7208,14954
81,01,1110140,1,20260917,3472,797,0,0,0,0,0,3214,844,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,233,red,4269,4058,8327
81,04,1110150,1,20260917,4765,1396,0,0,0,0,0,5138,1573,0,0,0,0,0,3,43.72678204080376,142.211538,,,,,,,,,,,,,233,red,6161,6711,12872
81,04,1110160,1,20260917,4933,800,1908,0,0,0,0,7394,1577,293,0,0,0,0,3,43.798283040817644,142.333692,,,,,,,,,,,,,233,red,7641,9264,16905
81,01,1110170,1,20260917,0,0,0,0,0,233,0,0,0,0,0,0,233,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,233,red,0,0,0
81,05,1110180,1,20260917,7960,1433,0,0,0,0,0,9077,1405,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,233,red,9393,10482,19875
81,05,1110190,1,20260917,7961,978,86,0,0,0,0,7735,903,49,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,233,red,9025,8687,17712
81,05,1110200,1,20260917,0,0,0,0,0,233,0,1372,593,0,0,0,0,0,3,42.60033645048358,140.6268309,,,,,,,,,,,,,233,red,0,1965,1965
81,01,1110220,1,20260917,2263,410,0,0,0,0,0,2111,357,0,0,0,0,0,3,43.53094035076174,142.1739006,,,,,,,,,,,,,233,red,2673,2468,5141
81,04,1110230,1,20260917,2513,369,0,0,0,0,0,2765,398,0,0,0,0,0,3,43.34513804071655,142.377435,,,,,,,,,,,,,233,red,2882,3163,6045
81,04,1110240,1,20260917,0,0,1227,0,0,233,0,0,0,1179,0,0,233,0,3,43.16138604066678,142.575567,,,,,,,,,,,,,233,red,1227,1179,2406
81,07,1110250,1,20260917,,,,0,0,0,233,,,,0,0,0,233,3,42.96760298060881,142.8955221,,,,,,,,,,,,,233,red,0,0,0
81,07,1110260,1,20260917,4616,485,66,0,0,0,0,4035,424,59,0,0,0,0,3,42.91673291059265,143.2700872,,,,,,,,,,,,,233,red,5167,4518,9685
