FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25966452.202505200935,82,,2110010,1,20250520,935,16,10,0,0,0,0,0,23,6,0,0,0,0,0,3,202505200935,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966453.202505200935,82,,2110017,1,20250520,935,107,23,0,0,0,0,0,103,19,0,0,0,0,0,3,202505200935,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966454.202505200935,82,,2110019,1,20250520,935,78,27,0,0,0,0,0,85,22,0,0,0,0,0,3,202505200935,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966455.202505200935,82,,2110021,1,20250520,935,58,25,0,0,0,0,0,79,18,0,0,0,0,0,3,202505200935,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966456.202505200935,82,,2110030,1,20250520,935,88,11,0,0,0,0,0,76,16,0,0,0,0,0,3,202505200935,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966457.202505200935,82,,2110040,1,20250520,935,61,19,0,0,0,0,0,62,10,0,0,0,0,0,3,202505200935,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966458.202505200935,82,,2110050,1,20250520,935,15,11,0,0,1,0,0,17,14,0,0,1,0,0,3,202505200935,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966459.202505200935,82,,2110060,1,20250520,935,49,15,0,0,0,0,0,77,29,0,0,0,0,0,3,202505200935,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966460.202505200935,82,,2110061,1,20250520,935,20,6,1,0,0,0,0,12,2,3,0,0,0,0,3,202505200935,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966461.202505200935,82,,2110062,1,20250520,935,18,8,0,0,0,0,0,14,6,0,0,0,0,0,3,202505200935,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966462.202505200935,82,,2110063,1,20250520,935,13,6,1,0,0,0,0,6,3,0,0,0,0,0,3,202505200935,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966463.202505200935,82,,2110065,1,20250520,935,89,22,0,0,0,0,0,102,25,0,0,0,0,0,3,202505200935,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966464.202505200935,82,,2110080,1,20250520,935,54,15,0,0,0,0,0,113,27,0,0,0,0,0,3,202505200935,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966465.202505200935,82,,2110081,1,20250520,935,35,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202505200935,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966466.202505200935,82,,2110090,1,20250520,935,48,7,0,0,0,0,0,36,11,0,0,0,0,0,3,202505200935,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966467.202505200935,82,,2110091,1,20250520,935,13,12,0,0,0,0,0,10,4,0,0,0,0,0,3,202505200935,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966468.202505200935,82,,2110092,1,20250520,935,30,14,0,0,0,0,0,27,7,0,0,0,0,0,3,202505200935,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966469.202505200935,82,,2110093,1,20250520,935,31,17,0,0,0,0,0,22,9,0,0,0,0,0,3,202505200935,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966470.202505200935,82,,2110095,1,20250520,935,28,9,0,0,0,0,0,25,6,0,0,0,0,0,3,202505200935,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966471.202505200935,82,,2110101,1,20250520,935,24,10,0,0,0,0,0,23,9,0,0,0,0,0,3,202505200935,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966472.202505200935,82,,2110102,1,20250520,935,36,13,0,0,0,0,0,36,5,0,0,0,0,0,3,202505200935,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966473.202505200935,82,,2110103,1,20250520,935,86,8,0,0,0,0,0,101,3,0,0,0,0,0,3,202505200935,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966474.202505200935,82,,2110106,1,20250520,935,77,12,0,0,0,0,0,79,9,0,0,0,0,0,3,202505200935,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25966475.202505200935,82,,2110110,1,20250520,935,74,11,0,0,0,0,0,46,10,0,0,0,0,0,3,202505200935,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
