FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26067798.202505202000,82,,2110010,1,20250520,2000,13,6,0,0,0,0,0,13,7,0,0,0,0,0,3,202505202000,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067799.202505202000,82,,2110017,1,20250520,2000,70,12,0,0,0,0,0,56,8,0,0,0,0,0,3,202505202000,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067800.202505202000,82,,2110019,1,20250520,2000,68,6,0,0,0,0,0,69,8,0,0,0,0,0,3,202505202000,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067801.202505202000,82,,2110021,1,20250520,2000,27,5,0,0,0,0,0,38,8,0,0,0,0,0,3,202505202000,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067802.202505202000,82,,2110030,1,20250520,2000,55,5,0,0,0,0,0,76,8,0,0,0,0,0,3,202505202000,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067803.202505202000,82,,2110040,1,20250520,2000,28,3,0,0,0,0,0,32,5,0,0,0,0,0,3,202505202000,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067804.202505202000,82,,2110060,1,20250520,2000,65,8,0,0,0,0,0,87,4,0,0,0,0,0,3,202505202000,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067805.202505202000,82,,2110061,1,20250520,2000,6,3,0,0,0,0,0,4,0,0,0,0,0,0,3,202505202000,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067806.202505202000,82,,2110062,1,20250520,2000,10,2,0,0,0,0,0,4,1,0,0,0,0,0,3,202505202000,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067807.202505202000,82,,2110063,1,20250520,2000,3,1,0,0,0,0,0,5,0,0,0,0,0,0,3,202505202000,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067808.202505202000,82,,2110065,1,20250520,2000,94,4,0,0,0,0,0,100,4,0,0,0,0,0,3,202505202000,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067809.202505202000,82,,2110080,1,20250520,2000,70,7,0,0,0,0,0,72,5,0,0,0,0,0,3,202505202000,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067810.202505202000,82,,2110081,1,20250520,2000,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505202000,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26067811.202505202000,82,,2110090,1,20250520,2000,35,2,0,0,0,0,0,29,1,0,0,0,0,0,3,202505202000,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
