FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.24352329.202505130755,82,,2110010,1,20250513,755,30,8,0,0,0,0,0,31,2,0,0,0,0,0,3,202505130755,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352330.202505130755,82,,2110017,1,20250513,755,159,17,0,0,0,0,0,127,5,0,0,0,0,0,3,202505130755,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352331.202505130755,82,,2110019,1,20250513,755,116,13,0,0,0,0,0,118,15,0,0,0,0,0,3,202505130755,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352332.202505130755,82,,2110021,1,20250513,755,64,7,3,0,0,0,0,105,16,1,0,0,0,0,3,202505130755,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352333.202505130755,82,,2110030,1,20250513,755,100,9,0,0,0,0,0,117,9,0,0,0,0,0,3,202505130755,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352334.202505130755,82,,2110040,1,20250513,755,71,11,0,0,0,0,0,90,8,0,0,0,0,0,3,202505130755,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352335.202505130755,82,,2110050,1,20250513,755,26,9,0,0,1,0,0,13,6,0,0,1,0,0,3,202505130755,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352336.202505130755,82,,2110060,1,20250513,755,155,25,0,0,0,0,0,142,13,0,0,0,0,0,3,202505130755,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352337.202505130755,82,,2110061,1,20250513,755,22,0,0,0,0,0,0,33,5,0,0,0,0,0,3,202505130755,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352338.202505130755,82,,2110062,1,20250513,755,7,0,0,0,0,0,0,16,2,0,0,0,0,0,3,202505130755,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352339.202505130755,82,,2110063,1,20250513,755,19,2,0,0,0,0,0,17,1,2,0,0,0,0,3,202505130755,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352340.202505130755,82,,2110065,1,20250513,755,146,19,0,0,0,0,0,106,9,0,0,0,0,0,3,202505130755,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352341.202505130755,82,,2110080,1,20250513,755,80,11,0,0,0,0,0,151,10,0,0,0,0,0,3,202505130755,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352342.202505130755,82,,2110081,1,20250513,755,36,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202505130755,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352343.202505130755,82,,2110090,1,20250513,755,76,10,0,0,0,0,0,69,9,0,0,0,0,0,3,202505130755,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352344.202505130755,82,,2110091,1,20250513,755,36,5,0,0,0,0,0,24,6,0,0,0,0,0,3,202505130755,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352345.202505130755,82,,2110092,1,20250513,755,50,9,0,0,0,0,0,49,2,0,0,0,0,0,3,202505130755,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352346.202505130755,82,,2110093,1,20250513,755,51,5,5,0,0,0,0,60,7,1,0,0,0,0,3,202505130755,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352347.202505130755,82,,2110095,1,20250513,755,46,1,0,0,0,0,0,29,5,0,0,0,0,0,3,202505130755,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352348.202505130755,82,,2110101,1,20250513,755,69,9,1,0,0,0,0,73,5,0,0,0,0,0,3,202505130755,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352349.202505130755,82,,2110102,1,20250513,755,94,10,0,0,0,0,0,34,2,0,0,0,0,0,3,202505130755,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352350.202505130755,82,,2110103,1,20250513,755,122,9,0,0,0,0,0,129,4,0,0,0,0,0,3,202505130755,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352351.202505130755,82,,2110106,1,20250513,755,83,9,0,0,0,0,0,107,9,0,0,0,0,0,3,202505130755,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352352.202505130755,82,,2110110,1,20250513,755,111,3,0,0,0,0,0,97,7,0,0,0,0,0,3,202505130755,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352353.202505130755,82,,2110120,1,20250513,755,49,4,0,0,0,0,0,54,4,0,0,0,0,0,3,202505130755,40.24861199921695,141.2695885,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352354.202505130755,82,,2110121,1,20250513,755,18,0,0,0,0,0,0,14,7,0,0,0,0,0,3,202505130755,40.33516094927743,141.2985134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352355.202505130755,82,,2110129,1,20250513,755,27,7,0,0,0,0,0,21,5,0,0,0,0,0,3,202505130755,40.60877243946183,141.2602758,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352356.202505130755,82,,2110130,1,20250513,755,0,0,56,0,0,1,0,0,0,64,0,0,1,0,3,202505130755,40.65837352949415,141.1919975,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24352357.202505130755,82,,2110132,1,20250513,755,6,1,2,0,0,0,0,37,5,2,0,0,0,0,3,202505130755,40.685015229511365,141.1707866,,,,,,,,,,,,,,,,,
