FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・自動車交通量,上り・小型交通量,上り・大型交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型交通量,下り・大型交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,color
t_travospublic_measure_5m_img.24617199.202505172345,81,02,1810010,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,41.996809040234545,140.63609,,,blue
t_travospublic_measure_5m_img.24617200.202505172345,81,02,1810020,1,20250517,2345,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505172345,42.079752040271956,140.596961,,,blue
t_travospublic_measure_5m_img.24617201.202505172345,81,02,1810030,1,20250517,2345,,,,,,,,,1,0,0,0,0,0,0,0,0,1,3,202505172345,42.18194404031664,140.438889,,,blue
t_travospublic_measure_5m_img.24617202.202505172345,81,02,1810040,1,20250517,2345,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505172345,42.21583304033111,140.385,,,blue
t_travospublic_measure_5m_img.24617203.202505172345,81,02,1810050,1,20250517,2345,,,,,,,,,1,0,0,0,0,0,0,0,0,1,3,202505172345,42.29972204036625,140.271667,,,blue
t_travospublic_measure_5m_img.24617204.202505172345,81,03,1810060,1,20250517,2345,,,,,,,,,1,,,,,,,,,,3,202505172345,42.70250004052043,140.42222,,,blue
t_travospublic_measure_5m_img.24617205.202505172345,81,03,1810070,1,20250517,2345,,,,,,,,,1,,,,,,,,,,3,202505172345,42.805277040555936,140.52666,,,blue
t_travospublic_measure_5m_img.24617206.202505172345,81,03,1810080,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,42.79952604055398,140.700552,,,blue
t_travospublic_measure_5m_img.24617207.202505172345,81,03,1810100,1,20250517,2345,,,,,,,,,1,,,,,,,,,,3,202505172345,43.037777040630445,140.678611,,,blue
t_travospublic_measure_5m_img.24617208.202505172345,81,03,1810110,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,43.20720804067966,140.975798,,,blue
t_travospublic_measure_5m_img.24617209.202505172345,81,03,1810120,1,20250517,2345,9,9,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,3,202505172345,43.177556040671355,141.041001,,,blue
t_travospublic_measure_5m_img.24617210.202505172345,81,02,1810130,1,20250517,2345,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505172345,41.881664040180986,140.72083,,,blue
t_travospublic_measure_5m_img.24617211.202505172345,81,02,1810140,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,41.922053040199984,140.673037,,,blue
t_travospublic_measure_5m_img.24617212.202505172345,81,01,1810160,1,20250517,2345,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505172345,43.575214040771755,141.936064,,,blue
t_travospublic_measure_5m_img.24617213.202505172345,81,04,1810180,1,20250517,2345,,,,,,,,,1,,,,,,,,,,3,202505172345,43.75527804080939,142.273889,,,blue
t_travospublic_measure_5m_img.24617214.202505172345,81,01,1810200,1,20250517,2345,9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202505172345,42.92800104059627,141.532244,,,blue
t_travospublic_measure_5m_img.24617215.202505172345,81,01,1810210,1,20250517,2345,12,12,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202505172345,42.86212604057491,141.599922,,,blue
t_travospublic_measure_5m_img.24617216.202505172345,81,05,1810220,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,42.736385040532305,141.709144,,,blue
t_travospublic_measure_5m_img.24617217.202505172345,81,05,1810240,1,20250517,2345,,,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202505172345,42.44474904042452,141.159993,,,blue
