FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25288653.202505171035,82,,2110010,1,20250517,1035,50,5,0,0,0,0,0,22,2,0,0,0,0,0,3,202505171035,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288654.202505171035,82,,2110017,1,20250517,1035,104,10,0,0,0,0,0,104,7,0,0,0,0,0,3,202505171035,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288655.202505171035,82,,2110019,1,20250517,1035,107,15,0,0,0,0,0,93,9,0,0,0,0,0,3,202505171035,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288656.202505171035,82,,2110021,1,20250517,1035,89,11,1,0,0,0,0,70,10,0,0,0,0,0,3,202505171035,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288657.202505171035,82,,2110030,1,20250517,1035,120,7,0,0,0,0,0,124,13,0,0,0,0,0,3,202505171035,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288658.202505171035,82,,2110040,1,20250517,1035,96,12,0,0,0,0,0,62,4,0,0,0,0,0,3,202505171035,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288659.202505171035,82,,2110050,1,20250517,1035,27,6,0,0,1,0,0,33,9,0,0,1,0,0,3,202505171035,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288660.202505171035,82,,2110060,1,20250517,1035,92,14,0,0,0,0,0,104,6,0,0,0,0,0,3,202505171035,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288661.202505171035,82,,2110061,1,20250517,1035,25,4,0,0,0,0,0,9,1,0,0,0,0,0,3,202505171035,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288662.202505171035,82,,2110062,1,20250517,1035,21,6,0,0,0,0,0,9,2,0,0,0,0,0,3,202505171035,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288663.202505171035,82,,2110063,1,20250517,1035,11,1,0,0,0,0,0,15,4,0,0,0,0,0,3,202505171035,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288664.202505171035,82,,2110065,1,20250517,1035,83,13,0,0,0,0,0,140,5,0,0,0,0,0,3,202505171035,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288665.202505171035,82,,2110080,1,20250517,1035,98,10,0,0,0,0,0,131,14,0,0,0,0,0,3,202505171035,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288666.202505171035,82,,2110081,1,20250517,1035,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505171035,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288667.202505171035,82,,2110090,1,20250517,1035,55,5,0,0,0,0,0,46,4,0,0,0,0,0,3,202505171035,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288668.202505171035,82,,2110091,1,20250517,1035,22,4,0,0,0,0,0,31,3,0,0,0,0,0,3,202505171035,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288669.202505171035,82,,2110092,1,20250517,1035,30,6,0,0,0,0,0,46,4,0,0,0,0,0,3,202505171035,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288670.202505171035,82,,2110093,1,20250517,1035,30,9,6,0,0,0,0,45,2,0,0,0,0,0,3,202505171035,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288671.202505171035,82,,2110095,1,20250517,1035,40,5,0,0,0,0,0,29,3,0,0,0,0,0,3,202505171035,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288672.202505171035,82,,2110101,1,20250517,1035,34,2,0,0,0,0,0,29,6,0,0,0,0,0,3,202505171035,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288673.202505171035,82,,2110102,1,20250517,1035,60,4,0,0,0,0,0,43,8,0,0,0,0,0,3,202505171035,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288674.202505171035,82,,2110103,1,20250517,1035,86,2,0,0,0,0,0,102,8,0,0,0,0,0,3,202505171035,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288675.202505171035,82,,2110106,1,20250517,1035,82,5,0,0,0,0,0,94,8,0,0,0,0,0,3,202505171035,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288676.202505171035,82,,2110110,1,20250517,1035,110,5,0,0,0,0,0,77,4,0,0,0,0,0,3,202505171035,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288677.202505171035,82,,2110120,1,20250517,1035,25,2,0,0,0,0,0,33,2,0,0,0,0,0,3,202505171035,40.24861199921695,141.2695885,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288678.202505171035,82,,2110121,1,20250517,1035,18,4,0,0,0,0,0,22,2,0,0,0,0,0,3,202505171035,40.33516094927743,141.2985134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288679.202505171035,82,,2110129,1,20250517,1035,27,6,0,0,0,0,0,21,2,0,0,0,0,0,3,202505171035,40.60877243946183,141.2602758,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288680.202505171035,82,,2110130,1,20250517,1035,0,0,61,0,0,1,0,0,0,35,0,0,1,0,3,202505171035,40.65837352949415,141.1919975,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288681.202505171035,82,,2110132,1,20250517,1035,12,1,1,0,0,0,0,39,2,0,0,0,0,0,3,202505171035,40.685015229511365,141.1707866,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288682.202505171035,82,,2110140,1,20250517,1035,50,7,1,0,0,0,0,44,0,0,0,0,0,0,3,202505171035,40.89885213964595,140.8603907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288683.202505171035,82,,2110143,1,20250517,1035,48,9,0,0,0,0,0,38,9,0,0,0,0,0,3,202505171035,39.946858248998055,141.2168884,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288684.202505171035,82,,2110144,1,20250517,1035,32,7,0,0,1,0,0,42,5,0,0,1,0,0,3,202505171035,40.83186565960448,141.1289549,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288685.202505171035,82,,2110150,1,20250517,1035,40,2,0,0,0,0,0,57,3,0,0,0,0,0,3,202505171035,36.857960956084185,140.7891727,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288686.202505171035,82,,2110160,1,20250517,1035,91,10,1,0,0,0,0,121,10,0,0,0,0,0,3,202505171035,36.92281008615712,140.8423448,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288687.202505171035,82,,2110161,1,20250517,1035,76,3,0,0,0,0,0,48,2,0,0,0,0,0,3,202505171035,37.03306503628002,140.911907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288688.202505171035,82,,2110162,1,20250517,1035,35,3,0,0,0,0,0,40,2,0,0,0,0,0,3,202505171035,37.11549536637102,140.9974993,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288689.202505171035,82,,2110163,1,20250517,1035,22,2,0,0,0,0,0,17,6,0,0,0,0,0,3,202505171035,37.38527750666344,141.0086632,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288690.202505171035,82,,2110165,1,20250517,1035,56,3,0,0,0,0,0,36,4,0,0,0,0,0,3,202505171035,37.63270112692426,140.9856901,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288691.202505171035,82,,2110168,1,20250517,1035,22,4,0,0,0,0,0,20,2,0,0,0,0,0,3,202505171035,37.81498403711179,140.943249,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288692.202505171035,82,,2110170,1,20250517,1035,10,1,0,0,0,0,0,24,4,0,0,0,0,0,3,202505171035,37.89520971719308,140.9035528,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288693.202505171035,82,,2110173,1,20250517,1035,96,8,0,0,0,0,0,42,1,0,0,0,0,0,3,202505171035,37.094818366348264,140.9771016,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288694.202505171035,82,,2110180,1,20250517,1035,33,1,0,0,0,0,0,34,3,0,0,0,0,0,3,202505171035,38.065333367362896,140.8600833,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288695.202505171035,82,,2110190,1,20250517,1035,17,6,0,0,0,0,0,13,3,0,0,0,0,0,1,202505171035,38.69140541795727,139.678824,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288696.202505171035,82,,2110191,1,20250517,1035,9,1,0,0,0,1,0,22,5,0,0,0,0,0,3,202505171035,38.96127130819829,139.8400569,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288697.202505171035,82,,2110192,1,20250517,1035,41,2,0,0,0,0,0,68,2,0,0,0,0,0,3,202505171035,38.794079918050066,139.83442430000002,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288698.202505171035,82,,2110193,1,20250517,1035,48,4,0,0,0,0,0,51,1,0,0,0,0,0,3,202505171035,38.787431758044086,139.8346764,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288699.202505171035,82,,2110194,1,20250517,1035,9,0,0,0,0,0,0,16,5,0,0,0,0,0,3,202505171035,38.69287924795862,139.6478605,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288700.202505171035,82,,2110195,1,20250517,1035,9,1,0,0,0,0,0,11,0,0,0,0,0,0,3,202505171035,38.61589808788817,139.5797968,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288701.202505171035,82,,2110196,1,20250517,1035,69,5,0,0,0,0,0,72,6,0,0,0,0,0,3,202505171035,38.83854814808984,139.8486963,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288702.202505171035,82,,2110197,1,20250517,1035,18,3,0,0,0,0,0,27,1,0,0,0,0,0,3,202505171035,38.71753625798101,139.7594082,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288703.202505171035,82,,2110198,1,20250517,1035,21,6,0,0,0,0,0,45,3,0,0,0,0,0,3,202505171035,38.71622198797982,139.7565651,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288704.202505171035,82,,2110199,1,20250517,1035,14,5,0,0,0,0,0,16,5,0,0,0,0,0,1,202505171035,38.60695292787995,139.5878005,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288705.202505171035,82,,2110201,1,20250517,1035,16,5,0,0,0,0,0,13,2,0,0,0,0,0,1,202505171035,38.666421037934484,139.623761,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288706.202505171035,82,,2110202,1,20250517,1035,48,1,0,0,0,0,0,67,3,0,0,0,0,0,3,202505171035,39.62387474875015,140.0681964,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288707.202505171035,82,,2110203,1,20250517,1035,8,0,0,0,0,0,0,5,0,0,0,0,0,0,3,202505171035,39.240899018438185,139.9362623,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25288708.202505171035,82,,2110204,1,20250517,1035,19,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202505171035,39.290490888479674,139.9747431,,,,,,,,,,,,,,,,,
