FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26620108.202505230645,82,,2110010,1,20250523,645,14,2,0,0,0,0,0,13,2,0,0,0,0,0,3,202505230645,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620109.202505230645,82,,2110017,1,20250523,645,107,20,0,0,0,0,0,106,10,0,0,0,0,0,3,202505230645,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620110.202505230645,82,,2110019,1,20250523,645,72,20,0,0,0,0,0,112,18,0,0,0,0,0,3,202505230645,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620111.202505230645,82,,2110021,1,20250523,645,98,10,0,0,0,0,0,67,11,0,0,0,0,0,3,202505230645,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620112.202505230645,82,,2110030,1,20250523,645,92,11,0,0,0,0,0,70,11,0,0,0,0,0,3,202505230645,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620113.202505230645,82,,2110040,1,20250523,645,61,6,0,0,0,0,0,57,11,0,0,0,0,0,3,202505230645,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620114.202505230645,82,,2110060,1,20250523,645,120,29,0,0,0,0,0,130,13,0,0,0,0,0,3,202505230645,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620115.202505230645,82,,2110061,1,20250523,645,11,7,2,0,0,0,0,2,0,0,0,0,0,0,3,202505230645,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620116.202505230645,82,,2110062,1,20250523,645,3,3,0,0,0,0,0,9,2,0,0,0,0,0,3,202505230645,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620117.202505230645,82,,2110063,1,20250523,645,8,4,1,0,0,0,0,15,2,1,0,0,0,0,3,202505230645,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620118.202505230645,82,,2110065,1,20250523,645,116,15,0,0,0,0,0,88,10,0,0,0,0,0,3,202505230645,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620119.202505230645,82,,2110080,1,20250523,645,83,12,0,0,0,0,0,156,18,0,0,0,0,0,3,202505230645,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620120.202505230645,82,,2110081,1,20250523,645,26,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202505230645,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620121.202505230645,82,,2110090,1,20250523,645,38,5,0,0,0,0,0,45,11,0,0,0,0,0,3,202505230645,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620122.202505230645,82,,2110091,1,20250523,645,14,5,0,0,0,0,0,8,6,0,0,0,0,0,3,202505230645,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620123.202505230645,82,,2110092,1,20250523,645,19,3,0,0,0,0,0,21,3,0,0,0,0,0,3,202505230645,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620124.202505230645,82,,2110093,1,20250523,645,24,4,1,0,0,0,0,24,8,0,0,0,0,0,3,202505230645,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620125.202505230645,82,,2110095,1,20250523,645,10,4,0,0,0,0,0,17,5,0,0,0,0,0,3,202505230645,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620126.202505230645,82,,2110101,1,20250523,645,35,5,0,0,0,0,0,35,8,2,0,0,0,0,3,202505230645,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620127.202505230645,82,,2110102,1,20250523,645,42,6,0,0,0,0,0,26,5,0,0,0,0,0,3,202505230645,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620128.202505230645,82,,2110103,1,20250523,645,72,9,0,0,0,0,0,59,6,0,0,0,0,0,3,202505230645,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620129.202505230645,82,,2110106,1,20250523,645,87,13,0,0,0,0,0,59,7,0,0,0,0,0,3,202505230645,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620130.202505230645,82,,2110110,1,20250523,645,63,6,0,0,0,0,0,74,5,0,0,0,0,0,3,202505230645,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620131.202505230645,82,,2110120,1,20250523,645,20,4,0,0,0,0,0,7,8,0,0,0,0,0,3,202505230645,40.24861199921695,141.2695885,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620132.202505230645,82,,2110121,1,20250523,645,14,3,0,0,0,0,0,8,4,0,0,0,0,0,3,202505230645,40.33516094927743,141.2985134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620133.202505230645,82,,2110129,1,20250523,645,6,8,0,0,0,0,0,11,3,0,0,0,0,0,3,202505230645,40.60877243946183,141.2602758,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620134.202505230645,82,,2110130,1,20250523,645,0,0,24,0,0,1,0,0,0,30,0,0,1,0,3,202505230645,40.65837352949415,141.1919975,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620135.202505230645,82,,2110132,1,20250523,645,9,0,2,0,0,0,0,34,1,0,0,0,0,0,3,202505230645,40.685015229511365,141.1707866,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620136.202505230645,82,,2110140,1,20250523,645,41,15,0,0,0,0,0,17,1,1,0,0,0,0,3,202505230645,40.89885213964595,140.8603907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620137.202505230645,82,,2110143,1,20250523,645,27,3,0,0,0,0,0,32,14,0,0,0,0,0,3,202505230645,39.946858248998055,141.2168884,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620138.202505230645,82,,2110144,1,20250523,645,29,17,0,0,1,0,0,21,5,0,0,1,0,0,3,202505230645,40.83186565960448,141.1289549,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620139.202505230645,82,,2110150,1,20250523,645,34,3,0,0,0,0,0,37,10,0,0,0,0,0,3,202505230645,36.857960956084185,140.7891727,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620140.202505230645,82,,2110160,1,20250523,645,103,13,0,0,0,0,0,113,22,0,0,0,0,0,3,202505230645,36.92281008615712,140.8423448,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620141.202505230645,82,,2110161,1,20250523,645,90,9,0,0,0,0,0,77,15,0,0,0,0,0,3,202505230645,37.03306503628002,140.911907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620142.202505230645,82,,2110162,1,20250523,645,15,1,0,0,0,0,0,57,5,0,0,0,0,0,3,202505230645,37.11549536637102,140.9974993,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26620143.202505230645,82,,2110163,1,20250523,645,15,4,0,0,0,0,0,66,6,0,0,0,0,0,3,202505230645,37.38527750666344,141.0086632,,,,,,,,,,,,,,,,,
