FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26999473.202505242205,87,,7110050,1,20250524,2205,47,2,0,0,0,0,0,52,0,0,0,0,0,0,3,202505242205,34.48565560311886,133.3551943,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999474.202505242205,87,,7110060,1,20250524,2205,43,3,0,0,0,0,0,37,0,0,0,0,0,0,3,202505242205,34.42263781303284,133.2070398,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999475.202505242205,87,,7110070,1,20250524,2205,23,2,0,0,0,0,0,24,1,0,0,0,0,0,3,202505242205,34.407573573012236,133.1699288,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999476.202505242205,87,,7110080,1,20250524,2205,21,3,0,0,0,0,0,15,5,0,0,0,0,0,3,202505242205,34.405688133009654,132.9629534,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999477.202505242205,87,,7110100,1,20250524,2205,4,0,0,0,0,0,0,2,1,0,0,0,0,0,3,202505242205,35.525440034486614,134.401402,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999478.202505242205,87,,7110120,1,20250524,2205,,,,0,0,0,1,,,,0,0,0,1,3,202505242205,35.52073503448066,133.602321,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999479.202505242205,87,,7110130,1,20250524,2205,15,0,0,0,0,0,0,22,2,0,0,0,0,0,3,202505242205,35.41880503435098,133.370183,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999480.202505242205,87,,7110220,1,20250524,2205,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,202505242205,35.19265103405972,134.203535,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999481.202505242205,87,,7110230,1,20250524,2205,10,0,0,0,0,0,0,3,0,0,0,0,0,0,3,202505242205,34.76131441349103,132.8171003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999482.202505242205,87,,7110300,1,20250524,2205,49,3,0,0,0,0,0,42,7,0,0,0,0,0,3,202505242205,34.38300703297858,132.459786,132.459786,34.38300703297858,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999483.202505242205,87,,7110310,1,20250524,2205,12,1,0,0,0,1,0,9,0,0,0,0,0,0,3,202505242205,34.37385803296604,132.421237,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999484.202505242205,87,,7116080,1,20250524,2205,19,2,0,0,0,0,0,18,1,0,0,0,0,0,3,202505242205,34.39666703299729,133.151389,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999485.202505242205,87,,7160010,1,20250524,2205,,,,0,0,0,1,,,,0,0,0,1,1,202505242205,34.5622222532229,133.1247222,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999486.202505242205,87,,7160020,1,20250524,2205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202505242205,35.07931507391195,132.8976065,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999487.202505242205,87,,7310030,1,20250524,2205,39,3,0,0,0,0,0,21,3,0,0,0,0,0,3,202505242205,34.49757349313508,133.4192187,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999488.202505242205,87,,7310040,1,20250524,2205,26,2,0,0,0,0,0,49,3,0,0,0,0,0,3,202505242205,34.4518823230728,133.2408893,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999489.202505242205,87,,7310050,1,20250524,2205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,202505242205,35.52642103448786,134.014803,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999490.202505242205,87,,7310070,1,20250524,2205,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,202505242205,35.51442503447265,134.020507,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999491.202505242205,87,,7310080,1,20250524,2205,,,,0,0,0,1,,,,0,0,0,1,3,202505242205,35.50773503446417,133.951629,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999492.202505242205,87,,7310100,1,20250524,2205,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,202505242205,35.508808034465545,133.493736,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999493.202505242205,87,,7310130,1,20250524,2205,9,0,0,0,0,0,0,6,0,0,0,0,0,0,3,202505242205,35.419582034351976,134.259336,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999494.202505242205,87,,7310190,1,20250524,2205,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,202505242205,35.48752003443851,134.19798,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999495.202505242205,87,,7310200,1,20250524,2205,14,0,0,0,0,0,0,1,0,0,0,0,0,0,3,202505242205,35.56082603453137,134.284636,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999496.202505242205,87,,7310210,1,20250524,2205,22,2,0,0,0,0,0,8,0,0,0,0,0,0,3,202505242205,35.50841503446504,133.518074,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999497.202505242205,87,,7310220,1,20250524,2205,14,0,0,0,0,0,0,8,0,0,0,0,0,0,3,202505242205,35.527027804488625,134.13269444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999498.202505242205,87,,7310230,1,20250524,2205,,,,0,0,0,1,,,,0,0,0,1,3,202505242205,35.51102780446835,134.20186111,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999499.202505242205,87,,7310240,1,20250524,2205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,202505242205,35.397000034323106,134.20377777,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999500.202505242205,87,,7310250,1,20250524,2205,4,2,0,0,0,0,0,4,1,0,0,0,0,0,3,202505242205,35.21870003409352,134.3247,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999501.202505242205,87,,7310310,1,20250524,2205,28,0,0,0,0,0,0,7,2,0,0,0,0,0,3,202505242205,34.34795203293048,132.689449,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999502.202505242205,87,,7310320,1,20250524,2205,14,0,0,0,0,0,0,8,1,0,0,0,0,0,3,202505242205,34.3631870329514,132.733939,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999503.202505242205,87,,7310340,1,20250524,2205,23,1,0,0,0,0,0,33,2,0,0,0,0,0,3,202505242205,34.46347803308863,133.26236,133.262329,34.46377003308901,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999504.202505242205,87,,7310370,1,20250524,2205,3,0,0,0,0,0,0,4,1,0,0,0,0,0,1,202505242205,35.200455524069866,132.8454097,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999505.202505242205,87,,7310510,1,20250524,2205,7,1,0,0,0,0,0,1,0,0,0,0,0,0,3,202505242205,34.40069503300281,132.797334,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999506.202505242205,87,,7310520,1,20250524,2205,19,0,0,0,0,0,0,9,1,0,0,0,0,0,3,202505242205,34.53976203319243,132.51558,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999507.202505242205,87,,7310530,1,20250524,2205,26,0,0,0,0,0,0,29,0,0,0,0,0,0,3,202505242205,34.347256032929515,132.31778000000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999508.202505242205,87,,7310540,1,20250524,2205,16,0,0,0,0,0,0,14,2,0,0,0,0,0,3,202505242205,34.310647032879174,132.631054,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999509.202505242205,87,,7310610,1,20250524,2205,21,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202505242205,35.49457003444746,134.1603,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999510.202505242205,87,,7310620,1,20250524,2205,16,2,0,0,0,0,0,25,2,0,0,0,0,0,3,202505242205,35.50153003445631,134.0804,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999511.202505242205,87,,7310630,1,20250524,2205,16,2,0,0,0,0,0,25,2,0,0,0,0,0,3,202505242205,35.49990003445423,134.0626,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999512.202505242205,87,,7310640,1,20250524,2205,,,,,,,1,,,,,,,1,3,202505242205,35.50860003446527,134.0108,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999513.202505242205,87,,7360010,1,20250524,2205,2,2,0,0,0,0,0,3,2,0,0,0,0,0,1,202505242205,35.032454033850506,134.387568,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999514.202505242205,87,,7360020,1,20250524,2205,4,1,0,0,0,0,0,8,3,0,0,0,0,0,1,202505242205,35.07606803390771,134.346092,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999515.202505242205,87,,7360030,1,20250524,2205,0,0,0,0,0,0,0,103,3,0,0,0,0,0,3,202505242205,35.238191034118756,134.286932,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999516.202505242205,87,,7360040,1,20250524,2205,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202505242205,35.284722034178905,134.227547,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26999517.202505242205,87,,7360060,1,20250524,2205,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,202505242205,35.35362703426754,134.194581,,,,,,,,,,,,,,,,,
