FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.26884156.202505241020,82,,2110010,1,20250524,1020,23,4,0,0,0,0,0,16,0,0,0,0,0,0,3,202505241020,37.110573456365614,140.1455465,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884157.202505241020,82,,2110017,1,20250524,1020,102,10,0,0,0,0,0,114,11,0,0,0,0,0,3,202505241020,37.37338104665072,140.3483355,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884158.202505241020,82,,2110019,1,20250524,1020,115,7,0,0,0,0,0,104,11,0,0,0,0,0,3,202505241020,37.46431627674753,140.3769493,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884159.202505241020,82,,2110021,1,20250524,1020,77,10,1,0,0,0,0,81,9,1,0,0,0,0,3,202505241020,37.606841446897334,140.4677635,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884160.202505241020,82,,2110030,1,20250524,1020,131,6,0,0,0,0,0,116,8,0,0,0,0,0,3,202505241020,37.73677529703182,140.4665726,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884161.202505241020,82,,2110040,1,20250524,1020,59,8,0,0,0,0,0,62,8,0,0,0,0,0,3,202505241020,37.807813217104496,140.4958221,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884162.202505241020,82,,2110050,1,20250524,1020,0,0,0,0,0,0,0,15,9,0,0,0,0,0,3,202505241020,37.90940456720739,140.5830744,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884163.202505241020,82,,2110060,1,20250524,1020,66,6,0,0,0,0,0,141,12,0,0,0,0,0,3,202505241020,38.085083367382396,140.8283056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884164.202505241020,82,,2110061,1,20250524,1020,15,1,0,0,0,0,0,17,3,1,0,0,0,0,3,202505241020,39.627223038752774,141.927215,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884165.202505241020,82,,2110062,1,20250524,1020,13,2,0,0,0,0,0,23,2,0,0,0,0,0,3,202505241020,39.659168038777906,141.92916800000003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884166.202505241020,82,,2110063,1,20250524,1020,14,3,0,0,0,0,0,13,0,0,0,0,0,0,3,202505241020,39.73009903883322,141.960134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884167.202505241020,82,,2110065,1,20250524,1020,93,11,0,0,0,0,0,113,8,0,0,0,0,0,3,202505241020,38.15208336744814,140.8853611,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884168.202505241020,82,,2110080,1,20250524,1020,73,15,0,0,0,0,0,110,9,0,0,0,0,0,3,202505241020,38.34041670763003,140.8834444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884169.202505241020,82,,2110081,1,20250524,1020,58,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202505241020,38.34313892763262,140.8802778,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884170.202505241020,82,,2110090,1,20250524,1020,53,8,0,0,0,0,0,44,3,0,0,0,0,0,3,202505241020,38.60986114788262,140.9828333,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884171.202505241020,82,,2110091,1,20250524,1020,18,8,0,0,0,0,0,25,7,0,0,0,0,0,3,202505241020,38.83405559808584,141.0848056,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884172.202505241020,82,,2110092,1,20250524,1020,34,4,0,0,0,0,0,33,3,0,0,0,0,0,3,202505241020,38.930416038171224,141.117432,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884173.202505241020,82,,2110093,1,20250524,1020,30,4,0,0,0,0,0,43,3,0,0,0,0,0,3,202505241020,39.003777838235415,141.1133766,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884174.202505241020,82,,2110095,1,20250524,1020,21,0,0,0,0,0,0,30,3,0,0,0,0,0,3,202505241020,39.166645038375485,141.142913,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884175.202505241020,82,,2110101,1,20250524,1020,28,7,0,0,0,0,0,21,3,0,0,0,0,0,3,202505241020,39.41215882858007,141.1284828,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884176.202505241020,82,,2110102,1,20250524,1020,26,6,0,0,0,0,0,36,5,0,0,0,0,0,3,202505241020,39.486604768640554,141.1422372,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884177.202505241020,82,,2110103,1,20250524,1020,86,2,0,0,0,0,0,117,7,0,0,0,0,0,3,202505241020,39.668019038784855,141.15759,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884178.202505241020,82,,2110106,1,20250524,1020,79,6,0,0,0,0,0,72,5,0,0,0,0,0,3,202505241020,39.70774803881587,141.165401,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884179.202505241020,82,,2110110,1,20250524,1020,75,3,0,0,0,0,0,62,5,0,0,0,0,0,3,202505241020,39.7581439588549,141.134491,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884180.202505241020,82,,2110120,1,20250524,1020,38,7,0,0,0,0,0,23,4,0,0,0,0,0,3,202505241020,40.24861199921695,141.2695885,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884181.202505241020,82,,2110121,1,20250524,1020,16,4,0,0,0,0,0,14,1,0,0,0,0,0,3,202505241020,40.33516094927743,141.2985134,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884182.202505241020,82,,2110129,1,20250524,1020,25,3,0,0,0,0,0,18,1,0,0,0,0,0,3,202505241020,40.60877243946183,141.2602758,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884183.202505241020,82,,2110130,1,20250524,1020,0,0,36,0,0,1,0,0,0,29,0,0,1,0,3,202505241020,40.65837352949415,141.1919975,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884184.202505241020,82,,2110132,1,20250524,1020,28,0,7,0,0,0,0,29,1,0,0,0,0,0,3,202505241020,40.685015229511365,141.1707866,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884185.202505241020,82,,2110140,1,20250524,1020,35,3,0,0,0,0,0,55,2,1,0,0,0,0,3,202505241020,40.89885213964595,140.8603907,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884186.202505241020,82,,2110143,1,20250524,1020,42,9,0,0,0,0,0,28,3,0,0,0,0,0,3,202505241020,39.946858248998055,141.2168884,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.26884187.202505241020,82,,2110144,1,20250524,1020,39,7,0,0,1,0,0,26,3,0,0,1,0,0,3,202505241020,40.83186565960448,141.1289549,,,,,,,,,,,,,,,,,
